score_col,pre_windows_t_lt_90,post_windows_t_ge_110,auc_pre_vs_post_buffered,pre_score_median,post_score_median,pre_score_q95,post_score_q95,q90_threshold,q90_pre_fp_rate,q90_post_det_rate,q90_first_delay_s,q95_threshold,q95_pre_fp_rate,q95_post_det_rate,q95_first_delay_s,q99_threshold,q99_pre_fp_rate,q99_post_det_rate,q99_first_delay_s,q99_5_threshold,q99_5_pre_fp_rate,q99_5_post_det_rate,q99_5_first_delay_s,q99_9_threshold,q99_9_pre_fp_rate,q99_9_post_det_rate,q99_9_first_delay_s
score_mean,179,36,0.9072004965859715,1.125149384776077,2.4642342927658323,1.966128538648345,2.672334590255285,2.598804447617193,0.027932960893854747,0.2777777777777778,15.0,2.6787828840787213,0.0223463687150838,0.05555555555555555,15.5,2.8120903141633753,0.0,0.0,,2.8701447194693963,0.0,0.0,,2.953346809736591,0.0,0.0,
score_roll5_median,179,36,0.8949410304158908,1.1235124044242795,2.463568689821518,1.966128538648345,2.6500766856784277,2.594601955165855,0.0335195530726257,0.25,16.0,2.6498120620804992,0.027932960893854747,0.08333333333333333,17.0,2.7647592570104376,0.0,0.0,,2.7889602314401674,0.0,0.0,,2.809018962934292,0.0,0.0,
score_roll5_mean,179,36,0.8992861576660459,1.1330081758187178,2.4685321138710536,1.946403180887099,2.6401173425302926,2.596137065793906,0.01675977653631285,0.1111111111111111,16.5,2.6524399585131624,0.0111731843575419,0.027777777777777776,17.5,2.7403483972433276,0.0,0.0,,2.770588249995118,0.0,0.0,,2.7913087913961276,0.0,0.0,
