window_mid_s,score_mean,score_max,prn_count,score_roll5_median,score_roll5_mean
0.5,1.9441842277243777,6.4454128727042255,8,1.9441842277243777,1.9441842277243777
1.0,1.4765008788231573,2.456151510035247,8,1.4765008788231573,1.4765008788231573
1.5,1.0138150360023235,1.7827404227220585,9,1.4765008788231573,1.478166714183286
2.0,0.9709296849949488,1.77782551190764,9,1.2451579574127405,1.351357456886202
2.5,0.9897502090940026,2.180892846793318,9,1.0138150360023235,1.279036007327762
3.0,0.9908942213227038,2.082038723354656,9,0.9908942213227038,1.088378006047427
3.5,1.1049485341181042,1.86716409887138,10,0.9908942213227038,1.0140675371064165
4.0,1.0957082294438438,1.8191565706625659,10,0.9908942213227038,1.0304461757947205
4.5,1.0404085391332263,1.675960117839288,10,1.0404085391332263,1.044341946622376
5.0,0.9788930426014808,1.710144725017379,10,1.0404085391332263,1.0421705133238717
5.5,0.9273060934002817,1.7250355430012385,10,1.0404085391332263,1.0294528877393874
6.0,0.9231043174701755,1.857975027265648,10,0.9788930426014808,0.9930840444098017
6.5,0.9571525405688007,1.9770101502420376,10,0.9571525405688007,0.965372906634793
7.0,0.9426058956341107,1.7852957946487529,10,0.9426058956341107,0.94581237793497
7.5,0.8946599253909614,1.6916956690883334,10,0.9273060934002817,0.928965754492866
8.0,0.8976678813137948,1.761248939708327,10,0.9231043174701755,0.9230381120755686
8.5,0.9208924491311272,1.886208832068764,10,0.9208924491311272,0.922595738407759
9.0,0.909012210599545,1.769757227417791,10,0.909012210599545,0.9129676724139077
9.5,0.9045744474244175,1.7434255186736118,10,0.9045744474244175,0.9053613827719692
10.0,0.909186005854729,1.729386251462998,10,0.909012210599545,0.9082665988647227
10.5,0.9393084749906391,1.771172249380691,10,0.909186005854729,0.9165947176000916
11.0,0.9523028882348342,1.8678465830196136,10,0.909186005854729,0.9228768054208331
11.5,0.9040812343002582,1.7186384973225526,10,0.909186005854729,0.9218906101609756
12.0,0.9194581331957901,1.718453667715408,10,0.9194581331957901,0.92486734731525
12.5,1.005814869129955,1.9322793136430085,10,0.9393084749906391,0.9441931199702953
13.0,1.0575930914703544,1.9793088742901943,10,0.9523028882348342,0.9678500432662384
13.5,1.0458823966731836,2.2344382778321683,10,1.005814869129955,0.9865659449539083
14.0,1.1865414122709566,2.695402141151402,10,1.0458823966731836,1.043057980548048
14.5,1.112555018246599,1.8941301161537871,10,1.0575930914703544,1.0816773575582097
15.0,0.9767713925927529,1.5116061006006907,10,1.0575930914703544,1.0758686622507692
15.5,0.9203904178595106,1.4845538566040966,10,1.0458823966731836,1.0484281275286007
16.0,0.9572831248734739,1.568522522591427,10,0.9767713925927529,1.0307082731686585
16.5,1.0403436921304103,1.8410490700054878,10,0.9767713925927529,1.0014687291405493
17.0,1.1309081988088607,2.276362795422571,10,0.9767713925927529,1.0051393652530016
17.5,1.0778374518836789,1.9104295704807057,10,1.0403436921304103,1.0253525771111867
18.0,1.0821463939277811,1.6675715802269888,10,1.0778374518836789,1.057703772324841
18.5,1.2493766568675433,1.7661094446584982,10,1.0821463939277811,1.1161224787236548
19.0,1.3254155796813498,2.35051877908083,10,1.1309081988088607,1.173136856233843
19.5,1.1368427130789163,1.962079961364263,10,1.1368427130789163,1.174323759087854
20.0,1.0748636938233762,1.8932185123322065,10,1.1368427130789163,1.1737290074757933
20.5,1.3084028470284825,2.753112733963031,10,1.2493766568675433,1.2189802980959337
21.0,1.1271802423932027,1.6361329363299006,10,1.1368427130789163,1.1945410152010654
21.5,1.0900335345048506,1.8901742716702208,10,1.1271802423932027,1.1474646061657656
22.0,1.0370439130108844,2.14006673873457,10,1.0900335345048506,1.1275048461521595
22.5,1.0457378436536509,1.5962724081705149,10,1.0900335345048506,1.1216796761182142
23.0,1.0012563743398841,1.7089147508490865,10,1.0457378436536509,1.0602503815804947
23.5,1.0481124382431906,1.6444719501155383,10,1.0457378436536509,1.0444368207504922
24.0,1.0745649006128979,1.8885617052331025,10,1.0457378436536509,1.0413430939721016
24.5,1.035352752684376,2.052472839011868,10,1.0457378436536509,1.0410048619067997
25.0,1.1456770440647435,2.2343481008490884,10,1.0481124382431906,1.0609927019890182
25.5,1.0697362745563344,2.1070490940067717,10,1.0697362745563344,1.0746886820323085
26.0,1.157187280168246,2.4394185560602852,10,1.0745649006128979,1.0965036504173196
26.5,1.18516638403433,1.987379579642396,10,1.1456770440647435,1.118623947101606
