dataset,window_ms,feature,point_auc,ci_lower,ci_upper,valid_replicates,bootstrap_unit
OAKBAT.cleanStatic,500,Full_C4,0.561530612244898,0.48342708333333334,0.6391822916666666,2000,parent block
TEXBAT.cleanStatic,500,Full_C4,0.5193367346938775,0.4272326835538752,0.6054861111111112,2000,parent block
