dataset,window_ms,feature,seed,roc_auc,low_fpr_standardized_pauc_0_05,pr_auc,eer,balanced_accuracy,threshold,positive_pairs,negative_pairs
OAKBAT.cleanStatic,100,B0_CN0,2026081901,0.42653061224489797,0.49607535321821034,0.4564445416175531,0.5535714285714286,0.4857142857142857,-0.1597636267133713,140,140
OAKBAT.cleanStatic,100,B0_CN0,2026081902,0.4599489795918367,0.4976452119309262,0.475121634552095,0.5178571428571428,0.48928571428571427,-0.1597636267133713,140,140
OAKBAT.cleanStatic,100,B0_CN0,2026081903,0.44239795918367353,0.5007849293563579,0.4658974819013918,0.5357142857142857,0.475,-0.1597636267133713,140,140
OAKBAT.cleanStatic,100,B0_CN0,2026081904,0.45647959183673475,0.4981684981684982,0.4821540049343902,0.5357142857142857,0.5107142857142857,-0.1597636267133713,140,140
OAKBAT.cleanStatic,100,B0_CN0,2026081905,0.44642857142857145,0.5028780743066458,0.48066302726639665,0.55,0.5,-0.1597636267133713,140,140
OAKBAT.cleanStatic,100,B0_CN0,2026081906,0.45959183673469384,0.49502878074306644,0.4756718497520324,0.5321428571428571,0.5,-0.1597636267133713,140,140
OAKBAT.cleanStatic,100,B0_CN0,2026081907,0.45448979591836736,0.4986917844060701,0.4741858037044598,0.5392857142857143,0.48928571428571427,-0.1597636267133713,140,140
OAKBAT.cleanStatic,100,B0_CN0,2026081908,0.47341836734693876,0.5070643642072213,0.4953464655427913,0.5178571428571428,0.4928571428571428,-0.1597636267133713,140,140
OAKBAT.cleanStatic,100,B0_CN0,2026081909,0.4564285714285714,0.49607535321821034,0.47601448754144077,0.5214285714285714,0.4964285714285714,-0.1597636267133713,140,140
OAKBAT.cleanStatic,100,B0_CN0,2026081910,0.4628061224489797,0.5018315018315018,0.4864727605504483,0.5357142857142857,0.5035714285714286,-0.1597636267133713,140,140
OAKBAT.cleanStatic,100,B1_power,2026081901,0.5003316326530612,0.4965986394557823,0.4922953503989138,0.5,0.49642857142857144,-0.06347412797084181,140,140
OAKBAT.cleanStatic,100,B1_power,2026081902,0.5017857142857143,0.49502878074306644,0.492299563307388,0.5071428571428571,0.5035714285714286,-0.06347412797084181,140,140
OAKBAT.cleanStatic,100,B1_power,2026081903,0.4888265306122449,0.49398220826792255,0.48009304973266,0.5071428571428571,0.4928571428571428,-0.06347412797084181,140,140
OAKBAT.cleanStatic,100,B1_power,2026081904,0.4889540816326531,0.49607535321821034,0.49073644552384377,0.5107142857142857,0.4928571428571428,-0.06347412797084181,140,140
OAKBAT.cleanStatic,100,B1_power,2026081905,0.49607142857142855,0.49607535321821034,0.4931272835969559,0.5035714285714286,0.48928571428571427,-0.06347412797084181,140,140
OAKBAT.cleanStatic,100,B1_power,2026081906,0.48757653061224493,0.4981684981684982,0.48757321618614247,0.5071428571428571,0.4785714285714286,-0.06347412797084181,140,140
OAKBAT.cleanStatic,100,B1_power,2026081907,0.501454081632653,0.4981684981684982,0.5032739831441086,0.48571428571428577,0.5035714285714286,-0.06347412797084181,140,140
OAKBAT.cleanStatic,100,B1_power,2026081908,0.5020408163265305,0.49502878074306644,0.49547798431288254,0.5071428571428571,0.5035714285714286,-0.06347412797084181,140,140
OAKBAT.cleanStatic,100,B1_power,2026081909,0.5046938775510204,0.49607535321821034,0.49708681906004115,0.5107142857142857,0.5035714285714286,-0.06347412797084181,140,140
OAKBAT.cleanStatic,100,B1_power,2026081910,0.5038265306122449,0.49607535321821034,0.49291693413114235,0.49642857142857144,0.4928571428571428,-0.06347412797084181,140,140
OAKBAT.cleanStatic,100,B2_doppler,2026081901,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007628266761670379,140,140
OAKBAT.cleanStatic,100,B2_doppler,2026081902,1.0,1.0,1.0,0.0,0.9678571428571429,-0.0007628266761670379,140,140
OAKBAT.cleanStatic,100,B2_doppler,2026081903,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007628266761670379,140,140
OAKBAT.cleanStatic,100,B2_doppler,2026081904,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007628266761670379,140,140
OAKBAT.cleanStatic,100,B2_doppler,2026081905,1.0,1.0,1.0,0.0,0.9678571428571429,-0.0007628266761670379,140,140
OAKBAT.cleanStatic,100,B2_doppler,2026081906,1.0,1.0,1.0,0.0,0.9678571428571429,-0.0007628266761670379,140,140
OAKBAT.cleanStatic,100,B2_doppler,2026081907,1.0,1.0,1.0,0.0,0.9678571428571429,-0.0007628266761670379,140,140
OAKBAT.cleanStatic,100,B2_doppler,2026081908,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007628266761670379,140,140
OAKBAT.cleanStatic,100,B2_doppler,2026081909,1.0,1.0,0.9999999999999999,0.0,0.9678571428571429,-0.0007628266761670379,140,140
OAKBAT.cleanStatic,100,B2_doppler,2026081910,1.0,1.0,1.0,0.0,0.9678571428571429,-0.0007628266761670379,140,140
OAKBAT.cleanStatic,100,B3_time,2026081901,0.504438775510204,0.4934589220303506,0.5195863850030966,0.4928571428571429,0.5535714285714286,-0.11373486331041958,140,140
OAKBAT.cleanStatic,100,B3_time,2026081902,0.49974489795918364,0.4945054945054945,0.5188577617692782,0.4928571428571429,0.55,-0.11373486331041958,140,140
OAKBAT.cleanStatic,100,B3_time,2026081903,0.5028571428571429,0.4934589220303506,0.5117629241887567,0.5,0.5428571428571428,-0.11373486331041958,140,140
OAKBAT.cleanStatic,100,B3_time,2026081904,0.48852040816326536,0.4913657770800628,0.4813679240225226,0.4892857142857143,0.5178571428571429,-0.11373486331041958,140,140
OAKBAT.cleanStatic,100,B3_time,2026081905,0.4967857142857142,0.4934589220303506,0.5007393064527592,0.4892857142857143,0.5321428571428571,-0.11373486331041958,140,140
OAKBAT.cleanStatic,100,B3_time,2026081906,0.49265306122448976,0.4934589220303506,0.4966222978206352,0.49642857142857144,0.5321428571428571,-0.11373486331041958,140,140
OAKBAT.cleanStatic,100,B3_time,2026081907,0.4939795918367347,0.4945054945054945,0.4982190261825251,0.4928571428571429,0.525,-0.11373486331041958,140,140
