dataset,valid_cases,coverage,strong_single_count,strong_single_detection,strong_four_count,strong_four_detection
OAKBAT.cleanStatic,42,1.0,20,0.15,6,0.5
TEXBAT.cleanStatic,42,1.0,17,0.0,10,0.1
