dataset,contrast,mean,lower_95,upper_95
OAKBAT.cleanStatic,injected-collapsed_source,1.0082223107965673,0.8050038981932551,1.2058654591545928
OAKBAT.cleanStatic,injected-common_gain_scaling,1.0082223107965673,0.8050038981932551,1.2058654591545928
OAKBAT.cleanStatic,injected-empirical_raw_iq_awgn,0.9889100281360205,0.8034804933028066,1.1756148024631319
TEXBAT.cleanStatic,injected-collapsed_source,0.7845288669095561,0.5715746782871935,0.9864112320719293
TEXBAT.cleanStatic,injected-common_gain_scaling,0.7845288669095561,0.5715746782871935,0.9864112320719293
TEXBAT.cleanStatic,injected-empirical_raw_iq_awgn,0.8257543786415218,0.590094698907458,1.0550335802310953
