case_id,dataset,ablation,score
OAKBAT.cleanStatic.r1.05,OAKBAT.cleanStatic,E7_single_prn_node,5.6970934865054055
OAKBAT.cleanStatic.r1.05,OAKBAT.cleanStatic,Full,2.8493863740125622
OAKBAT.cleanStatic.r1.06,OAKBAT.cleanStatic,E0_total_energy,995041433684379.0
OAKBAT.cleanStatic.r1.06,OAKBAT.cleanStatic,E1_magnitude_distortion,0.20405472384406248
OAKBAT.cleanStatic.r1.06,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.19765480218501563
OAKBAT.cleanStatic.r1.06,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.6477720646256955
OAKBAT.cleanStatic.r1.06,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.766470760582705
OAKBAT.cleanStatic.r1.06,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.0170886882579606
OAKBAT.cleanStatic.r1.06,OAKBAT.cleanStatic,E6_magnitude_minor,0.20405472384406248
OAKBAT.cleanStatic.r1.06,OAKBAT.cleanStatic,E7_single_prn_node,4.26599304604067
OAKBAT.cleanStatic.r1.06,OAKBAT.cleanStatic,Full,2.620727139153353
OAKBAT.cleanStatic.r1.07,OAKBAT.cleanStatic,E0_total_energy,1246801950903045.0
OAKBAT.cleanStatic.r1.07,OAKBAT.cleanStatic,E1_magnitude_distortion,0.18103827062784883
OAKBAT.cleanStatic.r1.07,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.19493863031180989
OAKBAT.cleanStatic.r1.07,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.2639437035778958
OAKBAT.cleanStatic.r1.07,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.8342077657114286
OAKBAT.cleanStatic.r1.07,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.2604119826056421
OAKBAT.cleanStatic.r1.07,OAKBAT.cleanStatic,E6_magnitude_minor,0.18103827062784883
OAKBAT.cleanStatic.r1.07,OAKBAT.cleanStatic,E7_single_prn_node,4.163067018938596
