scenario,detector,role,status,epochs,available_epochs,total_candidate_epochs,roc_auc,pr_auc,normalized_pauc_fpr_lte_0.05,strict_q99_detection_rate,strict_q995_detection_rate,sustained_q99_detection_rate,first_sustained_alarm_delay_s,persistent_alarm_ratio
DS1,A3,diagnostic,EVALUATED,824,824,824,0.4402209944751381,0.8548393375722905,0.0071823204419889505,0.023480662983425413,0.022099447513812154,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.020186335403726708
DS1,A4,diagnostic,EVALUATED,824,824,824,0.20591160220994476,0.7706132454817631,0.00027624309392265195,0.0,0.0,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.0
DS1,Full R2C-GNSS,diagnostic,EVALUATED,824,824,824,0.35161602209944753,0.828863823456406,0.01546961325966851,0.004143646408839779,0.004143646408839779,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.004658385093167702
DS1,Power-only,diagnostic,EVALUATED,824,824,824,0.04785911602209945,0.7305484074113804,0.0027624309392265192,0.0,0.0,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.0
DS2,B0,diagnostic,EVALUATED,815,815,815,0.912055944055944,0.9864071404568544,0.6083916083916083,0.5958041958041959,0.5832167832167832,0.5678321678321678,5.015853480000004,0.5574803149606299
DS2,A1,diagnostic,EVALUATED,815,815,815,0.33334265734265733,0.83893576047832,0.029650349650349652,0.02097902097902098,0.009790209790209791,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.02204724409448819
DS2,A2,diagnostic,EVALUATED,815,815,815,0.2796783216783217,0.8213766003457909,0.0344055944055944,0.02937062937062937,0.009790209790209791,0.002797202797202797,89.51603223999999,0.03307086614173228
DS2,A3,diagnostic,EVALUATED,815,815,815,0.5115524475524476,0.8974881728232931,0.09062937062937061,0.06573426573426573,0.06013986013986014,0.002797202797202797,89.51603223999999,0.06771653543307087
DS2,A4,diagnostic,EVALUATED,815,815,815,0.28036363636363637,0.8148863354783095,0.021538461538461538,0.008391608391608392,0.008391608391608392,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.009448818897637795
DS2,Full R2C-GNSS,diagnostic,EVALUATED,815,815,815,0.548923076923077,0.9041655380252015,0.07384615384615385,0.009790209790209791,0.009790209790209791,0.0,UNAVAILABLE_NO_SUSTAINED_ALARM,0.011023622047244094
DS2,Power-only,diagnostic,EVALUATED,815,815,815,0.9851468531468531,0.9980462322947021,0.9706293706293707,0.1076923076923077,0.08531468531468532,0.025174825174825177,63.015975999999995,0.10393700787401575
DS3,B0,primary,EVALUATED,816,816,816,0.7674581005586593,0.9663002735429741,0.6136871508379889,0.6131284916201117,0.6089385474860335,0.6033519553072626,1.0181993199999937,0.6415094339622641
