epoch,train_loss,train_rmse,train_examples,validation_loss,validation_rmse,validation_examples
1,0.38031567721416726,0.616697395173814,4592,0.13504316502002037,0.36748219687492395,1277
2,0.05355378673882435,0.23141691109083698,4592,0.05649191982454869,0.23768028909555938,1277
3,0.034184219659620874,0.18488975001232727,4592,0.025038427504810768,0.15823535478776785,1277
4,0.029730254375353093,0.17242463389943183,4592,0.017437384220988096,0.13205068807464843,1277
5,0.027023092476904185,0.16438702040278053,4592,0.015798578049021954,0.1256923945552075,1277
6,0.027151118600513877,0.16477596487508084,4592,0.015513145842515778,0.12455177976454523,1277
7,0.026128596597016895,0.16164342423067168,4592,0.014800288159467321,0.12165643492831492,1277
8,0.02616582570422298,0.16175854136404352,4592,0.0144081788579514,0.12003407373721596,1277
9,0.024081257350405335,0.15518136921165934,4592,0.01438216558754584,0.11992566692558287,1277
10,0.02423592804175013,0.15567892613244136,4592,0.014210977267033437,0.11920980356930984,1277
11,0.02348262424343866,0.15324041321870238,4592,0.012692861862848211,0.11266260188211619,1277
12,0.024213014456089782,0.1556053162847908,4592,0.014070061618169025,0.11861729055314417,1277
13,0.022682590877397137,0.15060740644934145,4592,0.01227785140777717,0.11080546650674401,1277
14,0.022758927001562682,0.15086062110956153,4592,0.011774141417295558,0.10850871585866068,1277
15,0.022463948903962295,0.14987978150491912,4592,0.011885894984648671,0.10902245174572378,1277
16,0.021699499624427604,0.14730750023141254,4592,0.011329833003885594,0.10644168827994788,1277
17,0.021087338313953593,0.14521480060225814,4592,0.014024462574216287,0.11842492378809576,1277
18,0.022395778830302717,0.1496521928683396,4592,0.012280269331220733,0.11081637663820602,1277
19,0.021532290349049226,0.1467388508509223,4592,0.011666894847338986,0.10801340123956372,1277
20,0.023454568108693025,0.15314884298842427,4592,0.012070077232952312,0.10986390323009788,1277
21,0.021623251109484595,0.1470484651721486,4592,0.011700156885042449,0.10816726346285391,1277
22,0.022940473942546894,0.15146113013756002,4592,0.011169090371115093,0.10568391727748878,1277
23,0.021052580485801872,0.1450950739542934,4592,0.01241813860279373,0.11143670222504672,1277
24,0.019616703363297707,0.1400596421646782,4592,0.010441631122478397,0.10218429978464597,1277
25,0.02026012161493509,0.14233805399447855,4592,0.010738872852214351,0.10362853300232688,1277
26,0.02019435900688587,0.14210685770534043,4592,0.010300171288049772,0.10148975952306603,1277
27,0.01944970854846858,0.13946221190153474,4592,0.010279678784094944,0.10138875077687338,1277
28,0.018600290290725772,0.1363828812231424,4592,0.010395511602669277,0.10195838171856828,1277
29,0.018446201393672812,0.13581679348914408,4592,0.010253743537663014,0.10126076998355786,1277
30,0.017970703295610506,0.1340548518167489,4592,0.012059447515286219,0.10981551582215611,1277
31,0.01697937946909396,0.13030494798392717,4592,0.010671527959995654,0.10330308785315014,1277
32,0.017811976107103483,0.13346151545334514,4592,0.010516062941906877,0.10254785683721955,1277
33,0.01794240873579572,0.13394927672740797,4592,0.010431832914695016,0.10213634472945964,1277
34,0.017254047082795498,0.13135466144296326,4592,0.01543199273297445,0.12422557197684561,1277
35,0.01960564224302561,0.14002014941795202,4592,0.01211568345618416,0.11007126535197168,1277
36,0.017719148551130128,0.13311329216547133,4592,0.010168362948562172,0.10083830099997804,1277
37,0.016818668680323955,0.12968680997049759,4592,0.010738264862666769,0.10362559945624811,1277
38,0.01692741216916448,0.13010538870148491,4592,0.011456970759932194,0.10703724006126182,1277
39,0.016940837894738343,0.13015697405340346,4592,0.010497836894942806,0.10245895224402211,1277
40,0.016478161097144,0.12836728982550033,4592,0.010233113240266836,0.10115885151714028,1277
