calibration_key,rows,p_min,p_median,p_mean,fraction_p_le_0_01,fraction_p_le_0_05,ks_uniform_statistic,ks_uniform_pvalue
cn00_n2:exact,595,0.003355704697986577,0.5016778523489933,0.5016778523489933,0.0067226890756302525,0.047058823529411764,0.003355704697986577,1.0
cn01_n2:exact,587,0.003401360544217687,0.5017006802721088,0.5017006802721088,0.0068143100511073255,0.04770017035775128,0.003401360544217687,1.0
cn02_n2:exact,582,0.003430531732418525,0.5017152658662092,0.5017152658662093,0.006872852233676976,0.048109965635738834,0.003430531732418525,1.0
