scenario,method,threshold,epochs_or_blocks,alarm_fraction,persistent_alarm_ratio,max_consecutive_alarms,status,false_positive_rate,average_run_length,roc_auc,normalized_pauc_fpr_le_0_05,pr_auc,pre_onset_fpr,attack_detection_rate,transition_detection_rate,established_detection_rate,first_alarm_time_s,first_alarm_delay_from_signal_s,first_alarm_delay_from_pull_off_s,source_kind,common_epoch_prn_support,runtime_per_epoch_seconds,reason
cleanStatic,H0,4.169877716047041,126,0.0,0.0,0,AVAILABLE,0.0,126.0,,,,,,,,,,,,,,
cleanStatic,A0,0.1345946812436575,126,0.0158730158730158,0.0,1,AVAILABLE,0.0158730158730158,63.0,,,,,,,,,,,,,,
cleanStatic,A1,1.6711964205218717,126,0.0,0.0,0,AVAILABLE,0.0,126.0,,,,,,,,,,,,,,
cleanStatic,A2,0.1345946812436575,126,0.0158730158730158,0.0,1,AVAILABLE,0.0158730158730158,63.0,,,,,,,,,,,,,,
cleanStatic,A3,0.5367334926330248,126,0.0,0.0,0,AVAILABLE,0.0,126.0,,,,,,,,,,,,,,
cleanStatic,A4,0.5367334926330248,126,0.0,0.0,0,AVAILABLE,0.0,126.0,,,,,,,,,,,,,,
cleanStatic,Full,100.0,21,0.0,0.0,0,AVAILABLE,0.0,21.0,,,,,,,,,,,,,,
cleanStatic,Linear-AR,100.0,21,0.0,0.0,0,AVAILABLE,0.0,21.0,,,,,,,,,,,,,,
cleanStatic,SimpleConsecutive,0.1345946812436575,126,0.0158730158730158,0.0,1,AVAILABLE,0.0158730158730158,63.0,,,,,,,,,,,,,,
DS1,H0,4.169877716047041,909,0.7392739273927392,1.0,672,AVAILABLE,,,0.9996843235052718,0.997032640949555,0.9998941932086937,0.0,0.9970326409495549,0.9,1.0,126.14809752,1.1480975199999932,,attack,True,1.4736786666755289e-05,
DS1,A0,0.1345946812436575,909,0.746974697469747,1.0,672,AVAILABLE,,,0.9987688616705601,0.997032640949555,0.999657190152166,0.029787234042553193,0.9970326409495549,0.9,1.0,126.14809752,1.1480975199999932,,attack,True,1.4736786666755289e-05,
DS1,A1,1.6711964205218717,909,0.7656765676567657,1.0,673,AVAILABLE,,,0.9997285182145338,0.997032640949555,0.9999084742352116,0.09787234042553192,0.9985163204747775,0.95,1.0,125.64809752,0.6480975199999932,,attack,True,1.4736786666755289e-05,
DS1,A2,0.1345946812436575,909,0.746974697469747,1.0,672,AVAILABLE,,,0.9987688616705601,0.997032640949555,0.999657190152166,0.029787234042553193,0.9970326409495549,0.9,1.0,126.14809752,1.1480975199999932,,attack,True,1.4736786666755289e-05,
DS1,A3,0.5367334926330248,909,0.7480748074807481,1.0,672,AVAILABLE,,,0.9984089904665698,0.997032640949555,0.9995336448504974,0.03404255319148936,0.9970326409495549,0.9,1.0,126.14809752,1.1480975199999932,,attack,True,1.4736786666755289e-05,
DS1,A4,0.5367334926330248,909,0.7502750275027503,1.0,672,AVAILABLE,,,0.9991224193446556,0.997032640949555,0.9997243306879977,0.0425531914893617,0.9970326409495549,0.9,1.0,126.14809752,1.1480975199999932,,attack,True,1.4736786666755289e-05,
DS1,Full,100.0,152,0.7236842105263158,1.0,110,AVAILABLE,,,1.0,1.0,1.0,0.0,0.9734513274336283,0.0,1.0,136.0,11.0,,attack,True,1.4736786666755289e-05,
DS1,Linear-AR,100.0,152,0.7960526315789473,1.0,121,AVAILABLE,,,1.0,1.0,1.0,0.20512820512820512,1.0,1.0,1.0,127.0,2.0,,attack,True,1.4736786666755289e-05,
DS1,SimpleConsecutive,0.1345946812436575,909,0.746974697469747,1.0,672,AVAILABLE,,,0.9987688616705601,0.997032640949555,0.999657190152166,0.029787234042553193,0.9970326409495549,0.9,1.0,126.14809752,1.1480975199999932,,attack,True,1.4736786666755289e-05,
DS2,H0,4.169877716047041,900,0.77,1.0,693,AVAILABLE,,,0.9987927706615195,0.9985611510791367,0.9997145536166223,0.0,0.9971223021582734,0.9,1.0,111.12368472,1.0236847200000057,,attack,True,1.2670007314013171e-06,
DS2,A0,0.1345946812436575,900,0.7711111111111111,1.0,694,AVAILABLE,,,0.9989261273907702,0.9985611510791367,0.9997403963621556,0.0,0.9985611510791367,0.95,1.0,110.62368472,0.5236847200000057,,attack,True,1.2670007314013171e-06,
DS2,A1,1.6711964205218717,900,0.7711111111111111,1.0,694,AVAILABLE,,,0.999087559220916,0.9985611510791367,0.9997732722912579,0.0,0.9985611510791367,0.95,1.0,110.62368472,0.5236847200000057,,attack,True,1.2670007314013171e-06,
DS2,A2,0.1345946812436575,900,0.7711111111111111,1.0,694,AVAILABLE,,,0.9989261273907702,0.9985611510791367,0.9997403963621556,0.0,0.9985611510791367,0.95,1.0,110.62368472,0.5236847200000057,,attack,True,1.2670007314013171e-06,
DS2,A3,0.5367334926330248,900,0.7722222222222223,1.0,694,AVAILABLE,,,0.9988138269871907,0.9985611510791367,0.9997185584865442,0.004878048780487805,0.9985611510791367,0.95,1.0,110.62368472,0.5236847200000057,,attack,True,1.2670007314013171e-06,
DS2,A4,0.5367334926330248,900,0.7733333333333333,1.0,694,AVAILABLE,,,0.9988208457624145,0.9985611510791367,0.9997198996307011,0.00975609756097561,0.9985611510791367,0.95,1.0,110.62368472,0.5236847200000057,,attack,True,1.2670007314013171e-06,
DS2,Full,100.0,150,0.7466666666666667,1.0,112,AVAILABLE,,,0.9996196754563895,0.9926217038539554,0.9998538866160139,0.0,0.9655172413793104,0.0,0.9911504424778761,124.0,13.900000000000006,,attack,True,1.2670007314013171e-06,
DS2,Linear-AR,100.0,150,0.2733333333333333,1.0,41,AVAILABLE,,,0.9164553752535497,0.5750507099391481,0.9718558056650688,0.0,0.35344827586206895,0.0,0.36283185840707965,214.0,103.9,,attack,True,1.2670007314013171e-06,
DS2,SimpleConsecutive,0.1345946812436575,900,0.7711111111111111,1.0,694,AVAILABLE,,,0.9989261273907702,0.9985611510791367,0.9997403963621556,0.0,0.9985611510791367,0.95,1.0,110.62368472,0.5236847200000057,,attack,True,1.2670007314013171e-06,
DS3,H0,4.169877716047041,901,0.6725860155382908,1.0,575,AVAILABLE,,,0.9982472849451697,0.9967855867296322,0.9995163306066469,0.0,0.8938053097345132,0.0,0.9209726443768997,136.63209532000002,17.732095320000013,-58.36790467999998,attack,True,1.6681052332457442e-06,
DS3,A0,0.1345946812436575,901,0.7491675915649278,1.0,675,AVAILABLE,,,0.9992989139780679,0.9970501474926253,0.9997880787586997,0.0,0.995575221238938,0.85,1.0,120.62328116,1.723281159999999,-74.37671884,attack,True,1.6681052332457442e-06,
DS3,A1,1.6711964205218717,901,0.7480577136514983,1.0,674,AVAILABLE,,,0.9981877587734962,0.9970501474926253,0.9995045764524197,0.0,0.9941002949852508,0.8,1.0,121.12328116,2.223281159999999,-73.87671884,attack,True,1.6681052332457442e-06,
DS3,A2,0.1345946812436575,901,0.7491675915649278,1.0,675,AVAILABLE,,,0.9992989139780679,0.9970501474926253,0.9997880787586997,0.0,0.995575221238938,0.85,1.0,120.62328116,1.723281159999999,-74.37671884,attack,True,1.6681052332457442e-06,
DS3,A3,0.5367334926330248,591,0.9407783417935702,1.0,553,AVAILABLE,,,0.9940039973351099,0.8800799467021986,0.999533988632489,0.07894736842105263,1.0,,1.0,141.63209532000002,22.732095320000013,-53.36790467999998,attack,True,1.6681052332457442e-06,
DS3,A4,0.5367334926330248,591,0.9407783417935702,1.0,553,AVAILABLE,,,0.9940039973351099,0.8800799467021986,0.999533988632489,0.07894736842105263,1.0,,1.0,141.63209532000002,22.732095320000013,-53.36790467999998,attack,True,1.6681052332457442e-06,
DS3,Full,100.0,102,0.9117647058823529,1.0,93,AVAILABLE,,,1.0,1.0,1.0000000000000002,0.0,0.9789473684210527,,0.9789473684210527,181.0,62.099999999999994,-14.0,attack,True,1.6681052332457442e-06,
DS3,Linear-AR,100.0,102,0.9019607843137255,1.0,92,AVAILABLE,,,1.0,1.0,1.0000000000000002,0.0,0.968421052631579,,0.968421052631579,187.0,68.1,-8.0,attack,True,1.6681052332457442e-06,
DS3,SimpleConsecutive,0.1345946812436575,901,0.7491675915649278,1.0,675,AVAILABLE,,,0.9992989139780679,0.9970501474926253,0.9997880787586997,0.0,0.995575221238938,0.85,1.0,120.62328116,1.723281159999999,-74.37671884,attack,True,1.6681052332457442e-06,
DS4,H0,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,No compatible complex nine-tap NPZ with C/N0 and sample/byte lineage was found; no score was computed.
DS4,A0,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,No compatible complex nine-tap NPZ with C/N0 and sample/byte lineage was found; no score was computed.
DS4,A1,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,No compatible complex nine-tap NPZ with C/N0 and sample/byte lineage was found; no score was computed.
DS4,A2,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,No compatible complex nine-tap NPZ with C/N0 and sample/byte lineage was found; no score was computed.
DS4,A3,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,No compatible complex nine-tap NPZ with C/N0 and sample/byte lineage was found; no score was computed.
DS4,A4,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,No compatible complex nine-tap NPZ with C/N0 and sample/byte lineage was found; no score was computed.
DS4,Full,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,No compatible complex nine-tap NPZ with C/N0 and sample/byte lineage was found; no score was computed.
DS4,Linear-AR,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,No compatible complex nine-tap NPZ with C/N0 and sample/byte lineage was found; no score was computed.
DS4,SimpleConsecutive,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,No compatible complex nine-tap NPZ with C/N0 and sample/byte lineage was found; no score was computed.
DS7_DS8_family,H0,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,The located DS7 and DS8 complex nine-tap NPZs omit cn0_db_hz required by the pre-attack frozen Full pipeline; no post-freeze adapter was permitted.
DS7_DS8_family,A0,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,The located DS7 and DS8 complex nine-tap NPZs omit cn0_db_hz required by the pre-attack frozen Full pipeline; no post-freeze adapter was permitted.
DS7_DS8_family,A1,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,The located DS7 and DS8 complex nine-tap NPZs omit cn0_db_hz required by the pre-attack frozen Full pipeline; no post-freeze adapter was permitted.
DS7_DS8_family,A2,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,The located DS7 and DS8 complex nine-tap NPZs omit cn0_db_hz required by the pre-attack frozen Full pipeline; no post-freeze adapter was permitted.
DS7_DS8_family,A3,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,The located DS7 and DS8 complex nine-tap NPZs omit cn0_db_hz required by the pre-attack frozen Full pipeline; no post-freeze adapter was permitted.
DS7_DS8_family,A4,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,The located DS7 and DS8 complex nine-tap NPZs omit cn0_db_hz required by the pre-attack frozen Full pipeline; no post-freeze adapter was permitted.
DS7_DS8_family,Full,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,The located DS7 and DS8 complex nine-tap NPZs omit cn0_db_hz required by the pre-attack frozen Full pipeline; no post-freeze adapter was permitted.
DS7_DS8_family,Linear-AR,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,The located DS7 and DS8 complex nine-tap NPZs omit cn0_db_hz required by the pre-attack frozen Full pipeline; no post-freeze adapter was permitted.
DS7_DS8_family,SimpleConsecutive,,,,,,UNAVAILABLE,,,,,,,,,,,,,attack,UNAVAILABLE,,The located DS7 and DS8 complex nine-tap NPZs omit cn0_db_hz required by the pre-attack frozen Full pipeline; no post-freeze adapter was permitted.
