scenario,model,roc_auc,pr_auc,independent_test_fpr,attack_detection_rate,first_alarm_delay_s,persistent_delay_s,threshold_q99,threshold_q995,target_fpr_1pct_threshold
os1,Full,0.6060327831514815,0.7950427757318685,0.0072992700729927005,0.02145922746781116,0.0,0.0,5.132180280290414,6.642795878519902,5.132180280290414
os1,minus_M1,0.4533413049203197,0.7163321170411459,0.0036496350364963502,0.0,0.0,0.0,4.902868148829208,5.777288712237308,4.902868148829208
os1,minus_B0history,0.15758831023708353,0.6121042903141178,0.0,0.0,0.0,0.0,5.058810212233893,5.427970069849825,5.058810212233893
os1,minus_concordance,0.14513982305923884,0.6057656105990397,0.014598540145985401,0.0,0.0,0.0,3.6417244347285336,3.9935915187020514,3.6417244347285336
os2,Full,1.0,1.0,0.0072992700729927005,1.0,0.0,0.0,5.132180280290414,6.642795878519902,5.132180280290414
os2,minus_M1,1.0,1.0,0.0036496350364963502,1.0,0.0,0.0,4.902868148829208,5.777288712237308,4.902868148829208
os2,minus_B0history,1.0,1.0,0.0,1.0,0.0,0.0,5.058810212233893,5.427970069849825,5.058810212233893
os2,minus_concordance,1.0,1.0,0.014598540145985401,1.0,0.0,0.0,3.6417244347285336,3.9935915187020514,3.6417244347285336
os3,Full,0.9456722111901152,0.9365727944618021,0.0072992700729927005,1.0,0.5,0.5,5.132180280290414,6.642795878519902,5.132180280290414
os3,minus_M1,0.9376223318315433,0.9504043307049389,0.0036496350364963502,0.9027181688125894,0.5,1.5,4.902868148829208,5.777288712237308,4.902868148829208
os3,minus_B0history,0.9944341240862925,0.9910518709447815,0.0,1.0,0.5,0.5,5.058810212233893,5.427970069849825,5.058810212233893
os3,minus_concordance,0.9949750532032257,0.9912174185085018,0.014598540145985401,1.0,0.5,0.5,3.6417244347285336,3.9935915187020514,3.6417244347285336
os4,Full,1.0,1.0,0.0072992700729927005,1.0,0.0,0.0,5.132180280290414,6.642795878519902,5.132180280290414
os4,minus_M1,1.0,1.0,0.0036496350364963502,1.0,0.0,0.0,4.902868148829208,5.777288712237308,4.902868148829208
os4,minus_B0history,1.0,1.0,0.0,1.0,0.0,0.0,5.058810212233893,5.427970069849825,5.058810212233893
os4,minus_concordance,1.0,1.0,0.014598540145985401,1.0,0.0,0.0,3.6417244347285336,3.9935915187020514,3.6417244347285336
