t,available_s,P0_median,P0_q90,P0_topk,P0_tracked,P1_median,P1_q90,P1_topk,P1_tracked,P2_median,P2_q90,P2_topk,P2_tracked,P3_median,P3_q90,P3_topk,P3_tracked,M1,m1_available_s,tracked,B0,P2,P3,mean_fusion,max_fusion,fisher_fusion,concordance,Full,minus_M1,minus_B0history,minus_concordance
9.5,10.1606396,6.890585494643159,18.947323565944426,59.753842003076805,11,2.019743364367127,24.74482773501364,43.7258719489947,11,6.5310124271061705,16.81338299586722,55.26471890417732,11,2.159710611540078,23.65189820978135,43.230588761498915,11,2.2332197708886503,9.51,11,6.890585494643159,6.5310124271061705,2.159710611540078,2.559858844260904,4.948759890378168,10.239435377043616,0.8460290944006107,19.381639312416173,17.471812827406648,18.494577718116084,20.291719523319394
10.0,10.6606396,6.087185057155896,17.30157766854451,31.872652638350075,11,4.86831631596735,9.047689363399234,34.10331884995641,11,5.521856452400014,16.121357964482442,31.032966474137023,11,4.909144836844888,9.145888898859686,32.725911974462946,11,4.3146367748122545,10.01,11,6.087185057155896,5.521856452400014,4.909144836844888,4.049321421879709,4.948759890378168,16.197285687518836,15.588014419079057,13.68599133596511,13.47932115509545,13.607513469117064,13.437952433502842
10.5,11.1606396,5.5363831044495395,16.260425058922518,25.225205349912784,11,2.426947395056657,11.080113663129008,22.866739109440786,11,5.324542152144581,15.02113089861734,22.197847022711255,11,2.298246528945843,10.7558957871044,22.026419090642502,11,2.7526772407368916,10.51,11,5.5363831044495395,5.324542152144581,2.298246528945843,2.7357808525954375,4.948759890378168,10.94312341038175,2.587220651762036,12.58359134094155,11.439896560270437,11.658257956125626,13.78882862072665
11.0,11.6606396,6.782078695176681,14.87332876481551,24.444656475358965,11,2.2821280596027376,11.089856155924918,11.68132618403195,11,5.499149347144735,14.416700244759406,22.95309467404333,11,2.4616317022878538,10.920578818119997,11.496346527713996,11,3.109811409195731,11.01,11,6.782078695176681,5.499149347144735,2.4616317022878538,2.950709133211599,4.948759890378168,11.802836532846397,4.714477560604447,17.33347418097052,15.772711282154399,15.829724387280436,19.02363994218881
11.5,12.1606396,4.9543278910955895,14.24265182184413,20.8804412338072,11,1.8880644944896516,14.897307694547532,13.178054165913979,11,3.5904511004750645,12.138528031853559,19.010703188257995,11,1.8919543358372477,14.013144563600083,12.960366057704364,11,3.0872409454441483,11.51,11,4.9543278910955895,3.5904511004750645,1.8919543358372477,2.9325253111261618,4.948759890378168,11.730101244504647,4.534502821824075,10.93595084553411,10.115996216508831,8.562738847125424,12.528361036045599
12.0,12.6606396,4.118726120784371,21.75682341190969,23.67851109016151,11,2.87758310246466,11.516371426568192,11.639123022389432,11,3.545702114507766,18.206818667079453,20.54705998480453,11,2.811008230536284,10.993181860232875,11.640213851560157,11,2.826961527018236,12.01,11,4.118726120784371,3.545702114507766,2.811008230536284,2.773298445566894,4.948759890378168,11.093193782267578,2.958551770323397,5.31163512507299,4.963521383785068,4.991734626198918,5.971967188124463
12.5,13.1606396,3.568251218950027,18.51506118405237,18.11017410663783,11,4.261878892285716,9.868904384202157,12.188518269190206,11,3.617143746533266,17.178393461584747,16.05281841756901,11,4.290526986540139,9.916114785949993,11.61016010258445,11,4.063524532769934,12.51,11,3.568251218950027,3.617143746533266,4.290526986540139,3.8465888678256266,4.948759890378168,15.386355471302508,13.581464955125522,11.174462937377777,10.308354140558677,10.570843849601413,6.412729931897279
13.0,13.6606396,3.6592665452711013,23.15862318981081,25.5687593149959,11,2.7589593947008066,19.243170182396895,17.235829354070518,11,4.154757297112858,18.861945459201596,21.750839170193554,11,3.115602196431903,18.735777830519286,16.195833278375844,11,2.4114340185849636,13.01,11,3.6592665452711013,4.154757297112858,3.115602196431903,2.632714749851601,4.948759890378168,10.530858999406403,1.5671218611294484,3.2857683964981867,3.1114411819758248,4.873372708384075,3.5186793107610144
13.5,14.1606396,3.189393313883131,31.192496928393258,31.117616465622376,11,3.0938453082776602,16.447134313167616,15.352238297490237,11,3.414938319919812,26.40012969037206,26.698105517563903,11,3.0295761684388354,15.610100832720345,14.66483872373741,11,2.6925679792366113,13.51,11,3.189393313883131,3.414938319919812,3.0295761684388354,1.8185890398685234,3.1498829533812502,7.2743561594740935,1.534922611773886,1.588987715076147,1.5124898519912202,2.1846286355052262,1.674884915526954
14.0,14.6606396,2.88357002936833,26.149484048669088,27.657877451475116,11,2.680776984667887,11.391693237854112,12.071695027218352,11,2.707182375469528,22.802119677054566,23.888889921473105,11,2.732686547061012,11.18903178855664,11.664531899938167,11,2.094287167793495,14.01,11,2.88357002936833,2.707182375469528,2.732686547061012,0.6322190000379357,1.1349799328389847,2.528876000151743,0.14693230845798658,1.0703460016088842,0.5473414633589149,1.245455367369119,1.152350308147065
14.5,15.1606396,3.0843972366461525,35.4453375836326,31.028619411358076,11,3.5492397799793323,17.909732573939497,18.27997749661834,11,3.131854967891134,31.522310798425057,27.084312807810495,11,3.6079277979608517,17.63583914298551,17.916325761573788,11,3.575666545984476,14.51,11,3.0843972366461525,3.131854967891134,3.6079277979608517,2.0420960953790415,2.2335922215070947,8.168384381516166,4.133485696440276,3.907051132052759,3.7739080104656755,2.7809597504597443,3.62470457200127
