t,available_s,P0_median,P0_q90,P0_topk,P0_tracked,P1_median,P1_q90,P1_topk,P1_tracked,P2_median,P2_q90,P2_topk,P2_tracked,P3_median,P3_q90,P3_topk,P3_tracked,M1,m1_available_s,tracked,B0,P2,P3,mean_fusion,max_fusion,fisher_fusion,concordance,Full,minus_M1,minus_B0history,minus_concordance
9.5,10.1686342,8.455984117248898,54.58560347988488,43.63847417108942,11,1.7371013868807739,11.56105609734086,10.71251676295625,11,7.161342758378797,45.22342253709159,38.047225200570914,11,2.0601238912645203,11.740154245447595,10.64287753652713,11,3.972863603021056,9.51,11,8.455984117248898,7.161342758378797,2.0601238912645203,3.8465888678256266,4.948759890378168,15.386355471302508,13.581464955125522,24.47250719696241,22.81629778336459,21.16927193980168,27.848897532008067
10.0,10.6686342,6.565496219524287,34.36181285325524,35.760159945815644,11,2.27061368506851,8.18513335441538,9.525487035814498,11,4.781945625547438,27.517780934713755,29.85992975670098,11,1.8982708562642836,7.324558140105207,9.154386678801401,11,3.1043343874337403,10.01,11,6.565496219524287,4.781945625547438,1.8982708562642836,2.950709133211599,4.948759890378168,11.802836532846397,4.714477560604447,17.603476678864386,16.04345407523697,14.98104060881766,19.66939453992794
10.5,11.1686342,4.963739227386935,17.09256621514669,28.287210185830457,11,1.8686838494262574,10.293443076527119,10.295712869661111,11,3.376617601169678,16.13601427766831,23.375424719700447,11,1.8113876260911461,9.406277236136182,9.526006979895769,11,4.1062756158061315,10.51,11,4.963739227386935,3.376617601169678,1.8113876260911461,3.905480385653818,4.948759890378168,15.621921542615272,14.164344917748812,14.11649302142237,13.436605564157643,11.774203680404149,13.057589364646876
11.0,11.6686342,4.331912920088131,13.624713470699502,18.23522400291819,11,1.9038651327452363,7.367745795890411,6.648575138921412,11,3.001249755218097,12.955793037978966,15.277393985767395,11,1.8770707839225766,6.878961171898589,6.202047116157627,11,2.240029750534862,11.01,11,4.331912920088131,3.001249755218097,1.8770707839225766,2.559858844260904,4.948759890378168,10.239435377043616,0.8460290944006107,8.7960140656372,8.06743527880052,7.22787762523029,9.838504937630065
11.5,12.1686342,3.04643844784338,20.17934625996954,17.83021885560081,11,1.3926936363286093,4.673830104360132,8.739569736953596,11,2.352636621108247,16.257303399369118,14.895686369518637,11,1.448237413586128,4.786509848530743,8.340164744430568,11,2.631449967928401,11.51,11,3.04643844784338,2.352636621108247,1.448237413586128,1.1584869152230726,1.897119984885881,4.63394766089229,0.7965131211435671,6.171232855672566,5.7986668777700245,2.906567506544441,6.889403983759636
12.0,12.6686342,2.3440945422302795,15.573289732861316,16.83042977211534,11,2.2772044894847174,8.037625173578348,8.577273758337853,11,2.3353294746445203,12.929657024901285,14.502019589158744,11,2.322873023684303,7.186792834011919,8.131686978255276,11,2.3083967233080895,12.01,11,2.3440945422302795,2.3353294746445203,2.322873023684303,0.13876485049388143,0.2411620568168881,0.5550594019755258,0.008770495869832886,2.3831934362954716,1.9715320685102302,2.2769578125756866,2.134426551325055
12.5,13.1686342,2.6077582368911,13.677761367019563,14.243404994026903,11,2.2845991935277943,5.9823994240858775,7.235422546170663,11,2.5923721919824043,11.377980581192082,12.546943691574363,11,2.3266406720654,5.862376660892391,7.12905955106061,11,2.507709271642252,12.51,11,2.6077582368911,2.5923721919824043,2.3266406720654,0.31710232246324777,0.34652257247471446,1.2684092898529906,0.09968833180084831,1.796718415603855,1.616432332657603,0.9971899107927125,1.807527107179742
13.0,13.6686342,3.127005586803894,11.312300357027397,11.5298823386824,11,2.7908848071847605,7.033852190209127,6.966463106182272,11,3.153369534773568,9.715897961927842,10.504628549568851,11,2.8593548147205774,6.93190543728268,6.943092856025253,11,2.4168370983739917,13.01,11,3.127005586803894,3.153369534773568,2.8593548147205774,1.430208379567983,2.543747149810933,5.720833518271933,0.8055274161522947,1.3812688204181405,1.231948944403091,1.522418776670093,1.511724599904147
13.5,14.1686342,3.0874396135995994,9.536452417388926,11.016361737873249,11,3.1130188635290317,7.256370970440709,7.611766771846168,11,3.165961310867178,8.211388854809918,10.253459517960179,11,3.2015610885267662,6.8482643210405705,7.413811710816664,11,1.9792872965487303,13.51,11,3.0874396135995994,3.165961310867178,3.2015610885267662,1.2119729749991568,2.302585092994046,4.847891899996627,0.27944370021100834,2.159309929124088,1.9182399858714625,1.785447300226549,2.2855079191842496
14.0,14.6686342,2.555687468712767,10.083664545277038,12.18784821830838,11,3.059254847642734,10.041309112763976,9.190575085954153,11,2.5069918127093747,9.38160920360353,11.073935978031448,11,2.9073426365483512,9.981430150703476,9.179788381097152,11,3.154918890901717,14.01,11,2.555687468712767,2.5069918127093747,2.9073426365483512,0.6164801705995939,1.0098167898849784,2.465920682398376,0.2253341046716492,1.353107133685653,1.2353496766013141,1.1056168702049802,1.5432540022167804
14.5,15.1686342,3.6320617442066045,16.282051576382916,13.484122770369277,11,3.1438117382915998,9.583805872551018,8.450057051800947,11,3.656521868488237,15.157073066168751,12.137333583688074,11,3.1710717232257344,9.457292141405032,8.274578749394413,11,2.9782499068749138,14.51,11,3.6320617442066045,3.656521868488237,3.1710717232257344,2.8897642244070805,4.948759890378168,11.559056897628324,4.1112741201753344,3.4463643717136923,3.3295086766513,3.655414899165486,3.361750642811453
15.0,15.6686342,3.071550933293618,10.231166382835069,13.329602140121073,11,3.143188778051978,5.23416576077278,6.892328202779464,11,3.136377518168252,10.151454031588665,12.305668195951723,11,2.832088551100935,5.203832555182916,7.011641483942525,11,2.514100534865529,15.01,11,3.071550933293618,3.136377518168252,2.832088551100935,1.2577881364221186,2.1690537003695227,5.0311525456884745,0.7516260680878455,1.154392616932493,1.0354261499174295,1.353056031672019,1.2676375040337142
