t,available_s,P0_median,P0_q90,P0_topk,P0_tracked,P1_median,P1_q90,P1_topk,P1_tracked,P2_median,P2_q90,P2_topk,P2_tracked,P3_median,P3_q90,P3_topk,P3_tracked,M1,m1_available_s,tracked,B0,P1,P2,P3,mean_fusion,max_fusion,fisher_fusion,concordance,Full,minus_M1,minus_B0history,minus_concordance
7.5,8.181649,2.662718138241047,28.830396613745016,26.230705819517297,11,2.3184914704323165,26.98923657947197,26.744962063820328,11,2.4722941652444406,28.943962522636372,25.926612031285128,11,2.4002546146076873,26.546821330227775,26.273690613892267,11,4.40897104236894,7.51,11,2.662718138241047,2.3184914704323165,2.4722941652444406,2.4002546146076873,1.877738854107259,3.3603753871419006,7.510955416429037,1.3276921151350614,1.320495732265171,2.030548117860547,2.4163081379392466,2.548766541421474
8.0,8.681649,1.932376977990696,22.020787710630326,30.429115486735316,11,2.0003550243840658,19.287458676863938,27.468062511718756,11,1.9876861773479253,21.629653560172493,29.936610496719158,11,2.0056663233160688,19.128381687445348,27.14256168829914,11,2.7708598883507674,8.01,11,1.932376977990696,2.0003550243840658,1.9876861773479253,2.0056663233160688,0.2754863458897014,0.5509726917794028,1.1019453835588056,-0.0,2.258745199856625,3.627654241263593,2.99569536347446,3.660646586610431
8.5,9.181649,2.6498542472730664,9.48661073911666,16.166882401810255,11,2.347783275515185,11.737005663638788,16.634194296670536,11,2.5677996589985863,9.391846814261115,15.985975490365023,11,2.3538273777018754,11.645252194942566,16.47405004620335,11,2.8462953053670885,8.51,11,2.6498542472730664,2.347783275515185,2.5677996589985863,2.3538273777018754,0.5018615364387895,0.6390799592896695,2.0074461457551576,0.23303610618701942,0.7498100304404526,1.8492175966861821,0.7877248797184475,1.658351790864238
9.0,9.681649,3.190662986355489,18.39147462118134,16.402984916720552,11,2.710831822147934,14.247469899769793,14.05672430517201,11,3.188069015468645,17.964007690998997,16.09332905088806,11,2.6538334653324953,13.963832598113488,13.876383861219821,11,3.111445241590717,9.01,11,3.190662986355489,2.710831822147934,3.188069015468645,2.6538334653324953,2.061257719594399,3.1780538303479466,8.245030878377596,3.0015498335932524,1.818476870421017,2.3369227918422344,1.6041721221460503,2.3695399198943514
9.5,10.181649,2.6729928608040057,12.475201728315568,14.758009995092431,11,1.91488527243275,11.688746616369874,12.715920587418395,11,2.6050946078191988,12.382415778206733,14.668296684256964,11,1.9748909947663733,11.624175790972062,12.687318873660496,11,3.096032697912282,9.51,11,2.6729928608040057,1.91488527243275,2.6050946078191988,1.9748909947663733,0.6854900630734241,0.9444616088408515,2.7419602522936963,0.40283036505523623,1.404708847328304,4.206154099905553,0.7099080682096364,3.566422832545355
10.0,10.681649,2.914482569051442,12.663122792954297,20.57971269751782,11,3.2852215724238496,13.406384573330522,18.933368165097303,11,2.990211737721792,12.49972064145907,20.205170350542417,11,3.2509416985238926,13.354566604921233,18.62611916019114,11,2.710646718795351,10.01,11,2.914482569051442,3.2852215724238496,2.990211737721792,3.2509416985238926,0.9679646300288166,1.443452774959839,3.871858520115266,0.7108665490168786,0.9685665303021979,2.4480484953413315,0.8538092762123518,2.214248371356133
10.5,11.181649,2.141678025157855,12.886398756111214,27.321592541927203,11,2.201865374572693,13.532782933116469,23.45994528250455,11,2.1645080147683835,12.754111647609118,26.83559833989891,11,2.258997967246671,13.392187044471235,23.064484821057764,11,2.4091593170412566,10.51,11,2.141678025157855,2.201865374572693,2.1645080147683835,2.258997967246671,0.16271120021731394,0.325422400434628,0.650844800869256,-0.0,1.662637788779379,2.7033673944079872,2.4110111196076143,2.7384020019751785
11.0,11.681649,1.4190403513734635,12.724485098235348,22.56733100318012,11,1.6630930880190442,11.823471647425713,19.413731547530173,11,1.542392516027388,12.63033710076821,22.2273257501415,11,1.7283105561073555,11.796461633463144,19.229402061573243,11,2.644674897724787,11.01,11,1.4190403513734635,1.6630930880190442,1.542392516027388,1.7283105561073555,0.21860690321137244,0.4372138064227448,0.8744276128454896,-0.0,3.4719670194981163,5.641087523349201,4.696300059301054,5.655415640304369
11.5,12.181649,1.0791615882189654,15.008558036904518,24.539655330649538,11,0.9810314884563549,13.348032290558761,23.01589265758986,11,1.0934573693794607,14.755047754464398,24.171268489931226,11,1.1084107586055434,13.18209239679204,22.740105339583806,11,3.507642470623215,11.51,11,1.0791615882189654,0.9810314884563549,1.0934573693794607,1.1084107586055434,0.8369882167858358,1.6739764335716716,3.347952867143343,-0.0,4.715301189933736,7.871132141528715,6.450539820650236,7.675071250945021
12.0,12.681649,2.1551638710934227,15.039124151301506,23.691554612230693,11,2.169671580983669,11.78839518624917,21.038697927957312,11,2.2262805647830683,14.679375620611324,23.211714585071586,11,2.251348534272308,11.554867199847083,20.689040266943575,11,3.0968781421234164,12.01,11,2.1551638710934227,2.169671580983669,2.2262805647830683,2.251348534272308,0.47223080442042575,0.9444616088408515,1.888923217681703,-0.0,1.6227763455183208,2.7305749814925324,2.1059327816707576,2.6236823295514227
