split,model,mse,mae,samples,first_target_s,last_target_s,parameters,alpha,lag,p3_vs_p1_improvement_pct,incremental_r2_vs_p1
validation,P0,0.01017459192993951,0.07337632326047952,1584,257.5,329.0,9,N/A,2,-1.4502667684053676,-0.014502667684053616
test,P0,0.010271896146526316,0.07365434286566866,2905,347.5,479.5,9,N/A,2,-1.4502667684053676,-0.014502667684053616
validation,P1,0.01016140146603509,0.07325897137865242,1584,257.5,329.0,171,100.0,2,-1.4502667684053676,-0.014502667684053616
test,P1,0.010456632853618194,0.07396523711768725,2905,347.5,479.5,171,100.0,2,-1.4502667684053676,-0.014502667684053616
validation,P2,0.010471026544580299,0.07444337164868906,1584,257.5,329.0,225,100.0,2,-1.4502667684053676,-0.014502667684053616
test,P2,0.010486976878154423,0.07442978704611491,2905,347.5,479.5,225,100.0,2,-1.4502667684053676,-0.014502667684053616
validation,P3,0.010391433010389188,0.07408591686444535,1584,257.5,329.0,387,100.0,2,-1.4502667684053676,-0.014502667684053616
test,P3,0.010608281924988376,0.07449589288694977,2905,347.5,479.5,387,100.0,2,-1.4502667684053676,-0.014502667684053616
