epoch,train_loss,train_rmse,train_count,val_loss,val_rmse,val_count
1,0.2945272670041736,0.5427036640784486,4194,0.41363488737285903,0.6431445307027488,932
2,0.10544067853950692,0.3247163047022846,4194,0.12759460761439648,0.35720387401930076,932
3,0.07146948104494233,0.2673377658411589,4194,0.1678051473053228,0.40964026572753176,932
4,0.07305897165464684,0.2702942316340599,4194,0.1162676659968278,0.3409804481151783,932
5,0.05695380922806621,0.23864997219372605,4194,0.07846226903725848,0.2801111726391121,932
6,0.05635962081370492,0.23740181299582555,4194,0.10109623320112925,0.3179563385138426,932
7,0.05449054570150023,0.2334321008376959,4194,0.0673511321916217,0.2595209667668909,932
8,0.05355068615073241,0.23141021185490587,4194,0.06461924412827379,0.2542031552287929,932
9,0.05280429824767479,0.22979185853218298,4194,0.10651367252428773,0.3263643248339005,932
10,0.05261565335841053,0.22938102222810527,4194,0.06414207539525155,0.2532628583019065,932
11,0.04808682512134868,0.21928708379963624,4194,0.0671973141957506,0.2592244475271393,932
12,0.04783030757995862,0.21870141192950404,4194,0.05603732193056734,0.236722035160581,932
13,0.043257757599439346,0.20798499368810083,4194,0.15936815918547145,0.39920941770638557,932
14,0.05303798144852896,0.23029976432582158,4194,0.09101160296714612,0.3016812936977467,932
15,0.04343900532880509,0.2084202613202591,4194,0.05533365860117735,0.23523107490545833,932
16,0.041977584429980605,0.20488431962934744,4194,0.05156471809300358,0.22707866058483694,932
17,0.04052064774231963,0.2012974111664619,4194,0.04689925867072886,0.21656236670005446,932
18,0.04049486713817021,0.20123336487314972,4194,0.08476176054132982,0.2911387307476108,932
19,0.03580667672462985,0.18922652225475647,4194,0.06362937071436592,0.25224862876607657,932
20,0.034104810119861925,0.184674876796661,4194,0.0642396044585646,0.25345533030213546,932
21,0.03208478432704735,0.1791222608361321,4194,0.049875062590568876,0.2233272544732704,932
22,0.03002344612094352,0.17327275065902176,4194,0.04589042013167312,0.2142204941915528,932
23,0.028723456747172613,0.16947995972141547,4194,0.0501563620869502,0.22395616108281147,932
24,0.028206858559679037,0.167948976060228,4194,0.04587498638587065,0.2141844681247234,932
25,0.028923510211845437,0.17006913362466874,4194,0.046738248933986024,0.21619030721562432,932
26,0.03279450196820779,0.18109252322558153,4194,0.056039828083641795,0.23672732855258136,932
27,0.03258379460319088,0.18050981857835569,4194,0.048071713638471944,0.21925262515753818,932
28,0.02766325584140686,0.1663227460133065,4194,0.04683617507247454,0.2164166700429395,932
29,0.026737343595870832,0.16351557600384994,4194,0.04491646051438837,0.21193503843014813,932
30,0.0236256598012187,0.1537064078079333,4194,0.0522504220057135,0.22858351210381184,932
31,0.023665845223591903,0.15383707363178717,4194,0.04841399955455326,0.22003181486901674,932
32,0.023682471053851576,0.1538911012822105,4194,0.045709340161615944,0.21379742786482708,932
33,0.026724824937247895,0.1634772918091314,4194,0.07115358214969288,0.2667462879773454,932
34,0.024038547175213816,0.15504369440649243,4194,0.044228777029579544,0.21030638846592262,932
35,0.02213485625563176,0.14877787555826893,4194,0.042061781582658386,0.20508969155630027,932
36,0.02278416986991578,0.1509442608048275,4194,0.06943568187993611,0.26350651202567293,932
37,0.021486279293077584,0.14658198829691724,4194,0.049477034784022066,0.22243433814054445,932
38,0.021587070434731306,0.1469253907081118,4194,0.04432468465629309,0.210534283802646,932
39,0.020202589878154244,0.14213581490305055,4194,0.04285051708425447,0.20700366442228618,932
40,0.020747721896044517,0.14404069527756563,4194,0.04299117313386161,0.20734312897673174,932
