scenario,model,roc_auc,pr_auc,independent_test_fpr,attack_detection_rate,first_alarm_delay_s,persistent_delay_s,threshold_q99,threshold_q995,target_fpr_1pct_threshold
os1,B0,0.5904597185745095,0.7980858434449878,0.014598540145985401,0.030042918454935622,0.0,0.0,3.387595597216391,3.407964047302959,3.387595597216391
os1,M1,0.12882653969067395,0.600238619044267,0.010948905109489052,0.0,-1.0,-1.0,5.516420623855864,6.351747988603181,5.516420623855864
os1,mean_fusion,0.3544438038704902,0.6936299515359949,0.0036496350364963502,0.001430615164520744,90.5,-1.0,3.1998721084335653,3.386963810204123,3.1998721084335653
os1,max_fusion,0.398728816575207,0.7219631713992148,0.0036496350364963502,0.017167381974248927,0.0,0.0,5.033564968282611,5.0369526024136295,5.033564968282611
os1,fisher_fusion,0.3544473626146806,0.6936198525748896,0.0036496350364963502,0.001430615164520744,90.5,-1.0,12.799488433734261,13.547855240816492,12.799488433734261
os1,P0_median,0.5904597185745095,0.7980858434449878,0.014598540145985401,0.030042918454935622,0.0,0.0,3.387595597216391,3.407964047302959,3.387595597216391
os1,P1_median,0.6118833586004172,0.8292202001168082,0.0036496350364963502,0.022889842632331903,0.0,0.0,3.3440419036722595,3.383195009370686,3.3440419036722595
os1,P2_median,0.5830788831237234,0.7918044743393935,0.021897810218978103,0.04005722460658083,0.0,0.0,3.3446229163599765,3.378392833036875,3.3446229163599765
os1,P3_median,0.6034420173809067,0.8245919498532983,0.010948905109489052,0.03862660944206009,0.0,0.0,3.320348639995132,3.363762627122649,3.320348639995132
os1,Full,0.6060327831514815,0.7950427757318685,0.0072992700729927005,0.02145922746781116,0.0,0.0,5.132180280290414,6.642795878519902,5.132180280290414
os1,minus_M1,0.4533413049203197,0.7163321170411459,0.0036496350364963502,0.0,0.0,0.0,4.902868148829208,5.777288712237308,4.902868148829208
os1,minus_B0history,0.15758831023708353,0.6121042903141178,0.0,0.0,0.0,0.0,5.058810212233893,5.427970069849825,5.058810212233893
os1,minus_concordance,0.14513982305923884,0.6057656105990397,0.014598540145985401,0.0,0.0,0.0,3.6417244347285336,3.9935915187020514,3.6417244347285336
os2,B0,0.990170748546253,0.9878380128692017,0.014598540145985401,1.0,0.0,0.0,3.387595597216391,3.407964047302959,3.387595597216391
os2,M1,1.0,1.0,0.010948905109489052,1.0,0.0,0.0,5.516420623855864,6.351747988603181,5.516420623855864
os2,mean_fusion,1.0,1.0,0.0036496350364963502,1.0,0.0,0.0,3.1998721084335653,3.386963810204123,3.1998721084335653
os2,max_fusion,0.9825870646766168,0.990084985835694,0.0036496350364963502,1.0,0.0,0.0,5.033564968282611,5.0369526024136295,5.033564968282611
os2,fisher_fusion,1.0,1.0,0.0036496350364963502,1.0,0.0,0.0,12.799488433734261,13.547855240816492,12.799488433734261
os2,P0_median,0.990170748546253,0.9878380128692017,0.014598540145985401,1.0,0.0,0.0,3.387595597216391,3.407964047302959,3.387595597216391
os2,P1_median,1.0,1.0,0.0036496350364963502,1.0,0.0,0.0,3.3440419036722595,3.383195009370686,3.3440419036722595
os2,P2_median,1.0,1.0,0.021897810218978103,1.0,0.0,0.0,3.3446229163599765,3.378392833036875,3.3446229163599765
os2,P3_median,1.0,1.0,0.010948905109489052,1.0,0.0,0.0,3.320348639995132,3.363762627122649,3.320348639995132
os2,Full,1.0,1.0,0.0072992700729927005,1.0,0.0,0.0,5.132180280290414,6.642795878519902,5.132180280290414
os2,minus_M1,1.0,1.0,0.0036496350364963502,1.0,0.0,0.0,4.902868148829208,5.777288712237308,4.902868148829208
os2,minus_B0history,1.0,1.0,0.0,1.0,0.0,0.0,5.058810212233893,5.427970069849825,5.058810212233893
os2,minus_concordance,1.0,1.0,0.014598540145985401,1.0,0.0,0.0,3.6417244347285336,3.9935915187020514,3.6417244347285336
os3,B0,0.7851514957401831,0.8540000885256783,0.014598540145985401,0.34620886981402005,2.0,5.5,3.387595597216391,3.407964047302959,3.387595597216391
os3,M1,1.0,1.0,0.010948905109489052,1.0,0.5,0.5,5.516420623855864,6.351747988603181,5.516420623855864
os3,mean_fusion,0.9708965900113168,0.9894038080336452,0.0036496350364963502,0.8254649499284692,0.5,1.5,3.1998721084335653,3.386963810204123,3.1998721084335653
os3,max_fusion,0.9353233830845771,0.9641379310344828,0.0036496350364963502,1.0,0.5,0.5,5.033564968282611,5.0369526024136295,5.033564968282611
os3,fisher_fusion,0.9708965900113168,0.9894038080336452,0.0036496350364963502,0.8254649499284692,0.5,1.5,12.799488433734261,13.547855240816492,12.799488433734261
os3,P0_median,0.7851514957401831,0.8540000885256783,0.014598540145985401,0.34620886981402005,2.0,5.5,3.387595597216391,3.407964047302959,3.387595597216391
os3,P1_median,0.7892796390009893,0.8651472486773919,0.0036496350364963502,0.27467811158798283,0.0,13.0,3.3440419036722595,3.383195009370686,3.3440419036722595
os3,P2_median,0.9199069032519804,0.9176001382301062,0.021897810218978103,1.0,0.5,0.5,3.3446229163599765,3.378392833036875,3.3446229163599765
os3,P3_median,0.9544836618054221,0.9465995409314181,0.010948905109489052,1.0,0.0,1.0,3.320348639995132,3.363762627122649,3.320348639995132
os3,Full,0.9456722111901152,0.9365727944618021,0.0072992700729927005,1.0,0.5,0.5,5.132180280290414,6.642795878519902,5.132180280290414
os3,minus_M1,0.9376223318315433,0.9504043307049389,0.0036496350364963502,0.9027181688125894,0.5,1.5,4.902868148829208,5.777288712237308,4.902868148829208
os3,minus_B0history,0.9944341240862925,0.9910518709447815,0.0,1.0,0.5,0.5,5.058810212233893,5.427970069849825,5.058810212233893
os3,minus_concordance,0.9949750532032257,0.9912174185085018,0.014598540145985401,1.0,0.5,0.5,3.6417244347285336,3.9935915187020514,3.6417244347285336
