status,scenario,model,operating_point,threshold,roc_auc,pr_auc,independent_clean_fpr,stable_pre_fpr,pre_onset_alarm,rising_edge_false_alarm_events,rising_edge_false_alarm_events_per_min,alarm_occupancy,post_detection_rate,persistent_detection_rate,first_alarm_delay_s,first_alarm_censored,persistent_3_epoch_delay_s,persistent_3_epoch_censored,stable_median,stable_q90,stable_q99,post_median,post_q90,post_q99,tracked_prn_count,tracked_prn_count_median,ramp_detection_rate,takeover_detection_rate,tracked_prn_count_min,tracked_prn_count_max
exploratory_post_exposure,DS1,A0,q995_higher_normal_threshold,0.2895382176827131,0.9555656057436825,0.9943018363557241,0.14232209737827714,0.3979591836734694,True,8,9.795918367346939,0.8219780219780219,0.945983379501385,1.0,1.5,False,3.5,False,0.22511924837345665,0.9219898690005935,1.7941486269293887,2.826644303186886,3.663274695124292,4.127437933067328,9245,10.0,0.2631578947368421,0.7631578947368421,8,11
exploratory_post_exposure,DS1,B0-Exact,q995_higher_normal_threshold,1.7035537524611113,0.9732743512917632,0.996662079131287,0.03745318352059925,0.02040816326530612,True,2,2.4489795918367347,0.7593406593406593,0.9515235457063712,1.0,1.5,False,6.0,False,1.2015527242172503,1.4944407345253248,1.8531047238901077,16.094379124344712,17.026762372548298,17.69087973899414,9245,10.0,0.15789473684210525,0.9210526315789473,8,11
exploratory_post_exposure,DS1,B0-Enhanced,q995_higher_normal_threshold,1.726241551131593,0.9675363220080276,0.995884721618048,0.1198501872659176,0.21428571428571427,True,14,17.142857142857142,0.7846153846153846,0.9487534626038782,1.0,5.0,False,19.5,False,1.1767021762229626,1.8477986085811657,2.5743909343277314,16.203669829662907,17.722763876193884,17.82403681247546,9245,10.0,0.15789473684210525,0.868421052631579,8,11
exploratory_post_exposure,DS2,A0,q995_higher_normal_threshold,0.2895382176827131,0.981810115350488,0.9976775692661499,0.14232209737827714,0.22448979591836735,True,8,9.795918367346939,0.7946725860155383,0.9719495091164095,1.0,11.0,False,11.0,False,0.18138910331972785,0.4420100713596226,0.9649189822588397,2.0519547028503182,2.77768556786073,3.325262308058586,8221,9.0,0.47368421052631576,1.0,7,10
exploratory_post_exposure,DS2,B0-Exact,q995_higher_normal_threshold,1.7035537524611113,0.9904542462146149,0.9987559017083149,0.03745318352059925,0.0,False,0,0.0,0.7702552719200888,0.9733520336605891,1.0,11.0,False,11.0,False,0.7210308303161166,1.2103433569752793,1.3836567476472397,14.484941211906907,15.585490631252446,16.081816434118004,8221,9.0,0.5,1.0,7,10
exploratory_post_exposure,DS2,B0-Enhanced,q995_higher_normal_threshold,1.726241551131593,0.9877064430260183,0.998430427932687,0.1198501872659176,0.061224489795918366,True,6,7.346938775510204,0.781354051054384,0.9761570827489481,1.0,1.5,False,11.0,False,0.6836988209559043,1.328116116138752,1.941106407506256,14.583302846696617,16.17835159555406,16.203669829534636,8221,9.0,0.5526315789473685,1.0,7,10
exploratory_post_exposure,DS3,A0,q995_higher_normal_threshold,0.2895382176827131,0.9650574515520494,0.9954974642078898,0.14232209737827714,0.02040816326530612,True,1,1.2244897959183674,0.7516629711751663,0.9019607843137255,0.9921135646687698,21.5,False,33.5,False,0.0640759641525743,0.09240111569909526,0.4842694309706467,2.100817219140968,4.069132064853343,4.536999828728226,3278,4.0,0.0,0.34210526315789475,2,11
exploratory_post_exposure,DS3,B0-Exact,q995_higher_normal_threshold,1.7035537524611113,0.9621991653804378,0.9952251612318238,0.03745318352059925,0.0,False,0,0.0,0.7472283813747228,0.9439775910364145,1.0,21.5,False,21.5,False,0.17219204858978077,0.31515774985709083,0.4837644606109807,6.437751649736403,6.890216461846431,8.01731553548889,3278,4.0,0.0,1.0,2,11
exploratory_post_exposure,DS3,B0-Enhanced,q995_higher_normal_threshold,1.726241551131593,0.9666152175155777,0.9957727888871495,0.1198501872659176,0.0,False,0,0.0,0.7494456762749445,0.9467787114845938,1.0,20.5,False,20.5,False,0.08450352617593535,0.5129191958703413,1.0489287689091416,6.481467931865163,6.506784707594777,8.101834906440944,3278,4.0,0.0,1.0,2,11
exploratory_post_exposure,DS4,A0,q995_higher_normal_threshold,0.2895382176827131,0.8346938775510203,0.814179285979188,0.14232209737827714,0.09183673469387756,True,8,9.795918367346939,0.2551440329218107,0.5818181818181818,,2.5,False,14.5,False,0.18273143959402804,0.28805703817301287,0.3572837578569755,0.4243189280852076,1.9185503687248362,12.576884448621202,2526,10.0,0.39473684210526316,1.0,8,11
