operating_point,scenario,a2_clean_fpr,b0_clean_fpr,a2_stable_pre_fpr,b0_stable_pre_fpr,a2_post_detection_rate,b0_post_detection_rate,a2_persistent_detection_rate,b0_persistent_detection_rate,a2_first_alarm_delay_s,b0_first_alarm_delay_s
q995,DS1,0.0898876404494382,0.03745318352059925,0.3163265306122449,0.02040816326530612,0.945983379501385,0.9515235457063712,1.0,1.0,1.5,1.5
q995,DS2,0.0898876404494382,0.03745318352059925,0.09183673469387756,0.0,0.9733520336605891,0.9733520336605891,1.0,1.0,11.0,11.0
q995,DS3,0.0898876404494382,0.03745318352059925,0.01020408163265306,0.0,0.9467787114845938,0.9439775910364145,1.0,1.0,20.5,21.5
q995,DS4,0.0898876404494382,0.03745318352059925,0.08163265306122448,0.01020408163265306,0.7272727272727273,0.8,,,3.0,4.5
q995,DS7,0.0898876404494382,0.03745318352059925,0.2457627118644068,0.0847457627118644,0.85,0.634375,0.9375,0.8375,1.5,28.0
q995,DS8,0.0898876404494382,0.03745318352059925,0.0423728813559322,0.0,0.9387186629526463,0.9164345403899722,0.9764890282131662,0.9608150470219435,12.5,17.5
matched,DS1,0.0898876404494382,0.0898876404494382,0.32653061224489793,0.12244897959183673,0.945983379501385,0.9626038781163435,1.0,1.0,1.5,1.5
matched,DS2,0.0898876404494382,0.0898876404494382,0.09183673469387756,0.01020408163265306,0.9733520336605891,0.9733520336605891,1.0,1.0,11.0,11.0
matched,DS3,0.0898876404494382,0.0898876404494382,0.01020408163265306,0.0,0.9467787114845938,0.9439775910364145,1.0,1.0,20.5,21.5
matched,DS4,0.0898876404494382,0.0898876404494382,0.08163265306122448,0.17346938775510204,0.7272727272727273,0.8909090909090909,,,3.0,3.5
matched,DS7,0.0898876404494382,0.0898876404494382,0.2457627118644068,0.13559322033898305,0.853125,0.678125,0.9375,0.8625,1.5,22.5
matched,DS8,0.0898876404494382,0.0898876404494382,0.0423728813559322,0.0,0.9387186629526463,0.9373259052924791,0.9764890282131662,0.9764890282131662,12.5,16.5
