score_col,calibration,pre_windows_t_lt_90,post_windows_t_ge_110,auc_pre_vs_post_buffered,pre_score_median,post_score_median,pre_score_q95,post_score_q95,q90_threshold,q90_pre_fp_rate,q90_post_det_rate,q90_first_delay_s,q95_threshold,q95_pre_fp_rate,q95_post_det_rate,q95_first_delay_s,q99_threshold,q99_pre_fp_rate,q99_post_det_rate,q99_first_delay_s,q99_5_threshold,q99_5_pre_fp_rate,q99_5_post_det_rate,q99_5_first_delay_s,q99_9_threshold,q99_9_pre_fp_rate,q99_9_post_det_rate,q99_9_first_delay_s,scenario
ai_rmse_mean_tau50_gate,cleanStatic_plus_cleanDynamic_event_cutoffs,167,696,0.992566590956019,0.08865292333066459,4.026240743832155,0.16889871013435442,12.202377378940582,2.687514805048704,0.0,0.9683908045977011,20.0,3.020546697339304,0.0,0.9540229885057471,20.0,3.7732997655179297,0.0,0.8563218390804598,20.5,4.003922031905086,0.0,0.5186781609195402,20.5,4.4919467581204415,0.0,0.3563218390804598,20.5,ds3
ai_rmse_q_tau50_gate,cleanStatic_plus_cleanDynamic_event_cutoffs,167,696,0.994390529286255,0.0988155126571655,3.9609041646122933,0.1393928205966949,14.973438173532486,2.468274621665477,0.0,0.9712643678160919,20.0,2.6560563904692724,0.0,0.9698275862068966,20.0,3.032935892255016,0.0,0.9612068965517241,20.0,3.254700190861026,0.0,0.9353448275862069,20.5,3.766633887918797,0.0,0.8692528735632183,20.5,ds3
ai_rmse_top3_mean_tau50_gate,cleanStatic_plus_cleanDynamic_event_cutoffs,167,696,0.9925579874733292,0.1526500781377156,4.581015303730965,0.43128366569677984,15.625593662261963,3.7160187734497927,0.0,0.9008620689655172,19.5,4.693907245347895,0.0,0.48419540229885055,20.0,6.644477761214725,0.0,0.34051724137931033,20.5,7.221660686160425,0.0,0.29022988505747127,21.5,9.646231925775108,0.0,0.1968390804597701,23.5,ds3
