case_id,target_prn,recovery_boolean,requested_delay_chips,requested_doppler_hz,original_recovered_delay_chips,original_recovered_doppler_hz,effective_delay_median_chips,effective_delay_min_chips,effective_delay_max_chips,effective_doppler_median_hz,effective_doppler_min_hz,effective_doppler_max_hz,original_delta_bic,oracle_delta_bic,fixed_projection_ratio,oracle_projection_ratio,prompt_magnitude_reduction,phase_rotation_rad,cn0_change_db,lock_change,code_action_change_chips_s,carrier_action_change_hz,clean_baseline_residual,dominant_competing_prn,root_cause_labels
TEXBAT.cleanStatic.four.01,3,True,0.05,25.0,0.05,35.0,0.049771506319176324,0.0488980398531577,0.05104621084909914,24.85540771484375,22.21624755859375,28.2889404296875,568.2297811373137,251.63558083958924,0.0025664958687948098,0.002562951599951851,-0.10329318960559686,0.0003343173166748082,-10.638923645019531,-0.023636817932128906,0.010124812019057572,0.14459228515625,2113490.942041271,16,H3;H4
TEXBAT.cleanStatic.four.01,16,True,0.05,25.0,0.05,25.0,0.04972992822686375,0.048774166740468985,0.050827574060438356,24.8841552734375,22.1123046875,28.25,2679.7197842099704,2677.2798878471367,0.024929478371900297,0.024907257101184736,-0.10720408996543163,-0.00032213010315236394,-11.293184280395508,-0.02859625220298767,0.010201253870036453,0.1158447265625,2059939.2807663772,19,H3;H4
TEXBAT.cleanStatic.four.01,19,True,0.05,25.0,0.05,35.0,0.04997016232555488,0.04820482696366897,0.050850397693582544,24.856689453125,21.831787109375,28.38916015625,1020.4842760385945,78.60722865676507,0.0009437206386639301,0.0009511944283366698,-0.1072338332525038,0.0008744127345017837,-9.075347900390625,-0.0247003436088562,0.01024414540734142,0.143310546875,1675800.5803123731,16,H3;H4
TEXBAT.cleanStatic.four.01,30,True,0.05,25.0,0.05,15.0,0.048942088153317444,0.045818289628146894,0.0522378006677915,24.880859375,17.40673828125,31.827392578125,453.0075985584408,-15.424189729150385,7.379993569732583e-05,7.387068034567038e-05,-0.10814088719771031,0.0007067077944693844,-4.470378875732422,-0.06755495071411133,0.006991479895077646,0.119140625,829407.8249699177,16,H3;H4
TEXBAT.cleanStatic.four.02,3,True,-0.1,-50.0,-0.1,-40.0,-0.10016757785917077,-0.10174075523996064,-0.09837519983873332,-49.8828125,-54.69769287109375,-45.77069091796875,586.089731533546,241.89808899676427,0.002487606393155527,0.0024821717301815307,-0.1861733880427423,-0.002458100126980839,-14.732551574707031,-0.46896040439605713,-0.039038012153469026,-0.1171875,2986655.098165236,19,H3;H4
TEXBAT.cleanStatic.four.02,13,True,-0.1,-50.0,-0.1,-60.0,-0.09910564798371425,-0.10207979607451034,-0.09686596485744764,-49.868896484375,-54.802490234375,-45.88525390625,334.570200660266,-12.36509101651609,0.00010465652556654448,0.00010226013485135883,-0.2014208805495774,-0.0013114769894016578,-16.329517364501953,-0.519495040178299,-0.041213144664652646,-0.131103515625,3440733.316885306,19,H3;H4
TEXBAT.cleanStatic.four.02,19,True,-0.1,-50.0,-0.1,-40.0,-0.09926894644084408,-0.10247134399036566,-0.09720882089224772,-49.908203125,-55.377685546875,-45.49365234375,1044.4840586762875,75.25077442266047,0.0009329604235597237,0.000933064950455768,-0.18506595629758715,-0.0006705512395098824,-13.090606689453125,-0.4863695502281189,-0.03733548731543124,-0.091796875,2367942.011820339,3,H3;H4
TEXBAT.cleanStatic.four.02,30,True,-0.1,-50.0,-0.1,-60.0,-0.09311735134100398,-0.09746221929910437,-0.08867888855637979,-49.9217529296875,-59.447509765625,-40.783447265625,438.7040833211504,36.96075305668637,0.0003115625918608184,0.0006639559609117975,-0.1877289858826594,-0.0033262763321703363,-7.050352096557617,-0.5050653368234634,-0.024293552909512073,-0.0782470703125,1165659.2258117124,19,H3;H4
TEXBAT.cleanStatic.four.05,13,True,0.25,-5.0,0.3,5.0,0.2500230040884273,0.2467391619853537,0.2534088061739761,-4.7188720703125,-7.225830078125,-3.475830078125,238.34511572914198,-6.041976791806519,0.00029032959769467693,0.00016484781423313402,-0.07311622960249586,-0.0015961140299167588,-2.0812740325927734,-0.08641332387924194,0.030062890611588955,-0.2811279296875,2112814.1478617783,16,H3;H4
TEXBAT.cleanStatic.four.05,16,True,0.25,-5.0,0.25,-5.0,0.24996720644444054,0.24688674141359318,0.2531665323655566,-4.7340087890625,-7.2041015625,-3.39306640625,2848.339231071528,2895.884666630067,0.02732454529326059,0.027770646102875773,-0.07178744622223765,-0.0019394157742546624,-1.8101463317871094,-0.07907766103744507,0.029279038892127573,-0.2659912109375,1789035.982038417,19,H3;H4
