boundary_fraction,exact_center_fraction,n,time_block,within_tolerance_fraction
0.728,0.0026666666666666666,750,train,0.021333333333333333
0.7866666666666666,0.006666666666666667,150,calibration,0.013333333333333334
0.88,0.0,50,holdout,0.0
