fraction,n,prn
0.05263157894736842,50,1
0.05263157894736842,50,3
0.05263157894736842,50,6
0.05263157894736842,50,7
0.05263157894736842,50,8
0.05263157894736842,50,10
0.05263157894736842,50,11
0.05263157894736842,50,12
0.05263157894736842,50,13
0.05263157894736842,50,16
0.05263157894736842,50,18
0.05263157894736842,50,19
0.05263157894736842,50,20
0.05263157894736842,50,23
0.05263157894736842,50,24
0.05263157894736842,50,25
0.05263157894736842,50,29
0.05263157894736842,50,30
0.05263157894736842,50,31
