boundary_fraction,channel,exact_center_fraction,n,within_tolerance_fraction
0.5714285714285714,epl_tracking_ch_0,0.023809523809523808,42,0.047619047619047616
0.6904761904761905,epl_tracking_ch_1,0.0,42,0.023809523809523808
0.7757255936675461,epl_tracking_ch_10,0.005277044854881266,379,0.021108179419525065
0.813953488372093,epl_tracking_ch_2,0.0,43,0.023255813953488372
0.7619047619047619,epl_tracking_ch_3,0.0,42,0.0
0.7380952380952381,epl_tracking_ch_4,0.0,42,0.0
0.7142857142857143,epl_tracking_ch_5,0.0,42,0.0
0.6904761904761905,epl_tracking_ch_6,0.0,42,0.0
0.8095238095238095,epl_tracking_ch_7,0.0,42,0.023809523809523808
0.6904761904761905,epl_tracking_ch_8,0.0,42,0.023809523809523808
0.7142857142857143,epl_tracking_ch_9,0.0,42,0.0
