boundary_fraction,exact_center_fraction,n,prn,within_tolerance_fraction
0.7906976744186046,0.0,43,1,0.0
0.813953488372093,0.0,43,3,0.023255813953488372
0.7142857142857143,0.0,42,6,0.0
0.6904761904761905,0.0,42,7,0.0
0.7142857142857143,0.0,42,8,0.023809523809523808
0.7142857142857143,0.0,42,10,0.0
0.6904761904761905,0.023809523809523808,42,11,0.023809523809523808
0.7380952380952381,0.0,42,12,0.047619047619047616
0.8095238095238095,0.0,42,13,0.023809523809523808
0.7380952380952381,0.0,42,16,0.0
0.8095238095238095,0.0,42,18,0.0
0.6904761904761905,0.0,42,19,0.023809523809523808
0.7619047619047619,0.0,42,20,0.0
0.6904761904761905,0.0,42,23,0.023809523809523808
0.7380952380952381,0.023809523809523808,42,24,0.047619047619047616
0.9285714285714286,0.0,42,25,0.0
0.8095238095238095,0.0,42,29,0.023809523809523808
0.5714285714285714,0.023809523809523808,42,30,0.047619047619047616
0.7619047619047619,0.0,42,31,0.023809523809523808
