scenario,prn,valid_epochs,total_epochs,coverage,reset_count,median_full_score
TEXBAT.cleanStatic,19,439112,450112,0.9755616379923219,0,0.1584088419545942
TEXBAT.cleanStatic,16,439111,450110,0.9755637510830686,0,0.13184366018785226
TEXBAT.cleanStatic,3,439111,450111,0.9755615836982433,0,0.08684775076218992
TEXBAT.cleanStatic,30,416730,450110,0.9258403501366332,0,2.1769545782296373
TEXBAT.cleanStatic,13,439111,450111,0.9755615836982433,0,0.08041727618511381
TEXBAT.cleanStatic,6,439112,450111,0.9755638053724526,0,0.17671431681567437
TEXBAT.cleanStatic,7,439112,450112,0.9755616379923219,0,0.19220699409124875
TEXBAT.cleanStatic,20,434857,450110,0.9661127279998223,0,1.683063189209817
TEXBAT.cleanStatic,10,438637,450111,0.9745085101230585,0,0.9734138348259702
TEXBAT.cleanStatic,23,439112,450111,0.9755638053724526,0,0.06713393243443266
TEXBAT.DS3,19,341644,362798,0.9416920710698515,0,0.2915415552573659
TEXBAT.DS3,30,28084,102764,0.2732863648748589,0,0.8663972363365504
TEXBAT.DS3,-1,0,0,0.0,0,
TEXBAT.DS3,10,39325,81278,0.48383326361377005,0,0.5967147893479261
TEXBAT.DS3,3,348536,362798,0.960688868185602,0,0.18337601424865219
TEXBAT.DS3,8,7858,79116,0.09932251377723848,0,1.0373118832431811
TEXBAT.DS3,16,0,15999,0.0,0,
TEXBAT.DS3,6,36347,67736,0.5365979685839141,0,0.7154411622471878
TEXBAT.DS3,7,13159,29877,0.44043913378183885,0,0.25585334234085516
TEXBAT.DS3,13,344286,362798,0.9489743603878742,0,0.1756191455599713
TEXBAT.DS3,23,351758,362797,0.9695725157595019,0,0.13704240445759258
TEXBAT.DS7,20,150906,175540,0.8596673122934944,0,4.318474599915753
TEXBAT.DS7,19,164540,175540,0.9373362196650337,0,0.39154416972382494
TEXBAT.DS7,10,163631,175540,0.9321579127264441,0,2.964586954447903
TEXBAT.DS7,23,164541,175540,0.9373419163723368,0,0.15915276696592626
TEXBAT.DS7,3,164540,175540,0.9373362196650337,0,0.1980019602410654
TEXBAT.DS7,30,0,15999,0.0,0,
TEXBAT.DS7,16,164541,175540,0.9373419163723368,0,0.32152209548384925
TEXBAT.DS7,6,164541,175540,0.9373419163723368,0,0.4418994476836351
TEXBAT.DS7,7,164540,175540,0.9373362196650337,0,0.5182835837074347
TEXBAT.DS7,13,164540,175540,0.9373362196650337,0,0.1702400819065038
TEXBAT.DS7,-1,0,0,0.0,0,
OAKBAT.cleanStatic,21,438379,449946,0.9742924706520338,0,0.6827929211414465
OAKBAT.cleanStatic,27,438326,449947,0.9741725136516078,0,0.7993551215493988
OAKBAT.cleanStatic,10,438381,449947,0.9742947502705874,0,0.7774420961449474
OAKBAT.cleanStatic,11,438295,449947,0.974103616648183,0,0.7907470712526626
OAKBAT.cleanStatic,24,438470,449946,0.9744947171438351,0,0.6927901201945803
OAKBAT.cleanStatic,20,438379,449946,0.9742924706520338,0,0.7797428943583559
OAKBAT.cleanStatic,18,438327,449946,0.9741769012281474,0,0.7791373030303563
OAKBAT.cleanStatic,14,438394,449948,0.9743214771484705,0,0.7757026923313768
OAKBAT.cleanStatic,12,438314,449948,0.9741436788251087,0,0.806246793789847
OAKBAT.cleanStatic,8,438211,449946,0.9739190925133239,0,0.9580108654725447
OAKBAT.cleanStatic,25,0,16000,0.0,0,
OAKBAT.OS3,27,371626,384946,0.9653977440991723,0,0.9794081810903401
OAKBAT.OS3,21,371519,384947,0.9651172758847322,0,0.8784621718387503
OAKBAT.OS3,10,366119,384948,0.9510869000488378,0,1.2227892822329358
OAKBAT.OS3,11,371440,384948,0.9649095462244252,0,0.9933788771267374
OAKBAT.OS3,18,366751,384946,0.9527336301715046,0,1.1792886771374307
OAKBAT.OS3,20,371107,384947,0.96404699867774,0,1.0376395818163102
OAKBAT.OS3,24,373275,384947,0.9696789428155045,0,0.7215785444838748
OAKBAT.OS3,25,0,16000,0.0,0,
OAKBAT.OS3,14,371610,384947,0.9653536720639465,0,0.9700915778390649
OAKBAT.OS3,8,365092,384947,0.9484214710076971,0,1.4410110511385654
OAKBAT.OS3,15,371119,384946,0.9640806762506949,0,0.8963364499068824
OAKBAT.OS4,15,330819,384946,0.8593906677819746,0,2.1261093181652164
OAKBAT.OS4,25,371391,384948,0.9647822563047477,0,2.6129910139150563
OAKBAT.OS4,10,370849,384948,0.9633742739279072,0,0.9572801371682732
OAKBAT.OS4,11,371655,384948,0.9654680632189283,0,1.3456304235388716
OAKBAT.OS4,18,371319,384947,0.964597723842503,0,1.4388006686111021
OAKBAT.OS4,24,371748,384947,0.9657121629730846,0,0.9065585705989252
OAKBAT.OS4,12,234935,384948,0.6103032097841786,0,0.3597345966946166
OAKBAT.OS4,21,342690,384947,0.8902264467576055,0,2.4504043820885517
OAKBAT.OS4,20,371382,384947,0.9647613827358051,0,2.701809091841245
OAKBAT.OS4,8,350633,384947,0.9108604561147379,0,3.4914648214915887
OAKBAT.OS4,14,265518,384947,0.6897520957430503,0,0.5196818691216731
