scenario,dataset,role,valid_coverage,q99_fpr,attack_detection_rate,first_alarm_delay_s,full_pauc,a1_pauc,a2_pauc,a3_pauc,a4_pauc
TEXBAT.cleanStatic,TEXBAT,clean,1.0,0.011741194104421683,,,,,,,
TEXBAT.DS3,TEXBAT,core,0.9814088350673716,0.0,0.007462237467653608,67.88,0.32093125887236984,0.07588240864753709,0.04987280701140561,0.09027599922186721,0.31763025910235754
TEXBAT.DS7,TEXBAT,core_family,1.0,0.0,0.40563099539055686,71.46000000000001,0.4734147253021054,0.10505792948797807,0.053631493708733026,0.21603338731780242,0.4720941821352934
OAKBAT.cleanStatic,OAKBAT,clean,1.0,0.010628985869701138,,,,,,,
OAKBAT.OS3,OAKBAT,core,0.9999465126230209,0.012857142857142857,0.7508196721311475,0.45999999999999375,0.8118937800182591,0.29783352518556744,0.2048870718056603,0.49196522843647045,0.7960147660064304
OAKBAT.OS4,OAKBAT,core,1.0,0.02,1.0,0.0,0.979179069527461,0.32615753419220667,0.18368458235102678,0.455209201533589,0.979012375078386
