dataset,scenario,official_onset_s,estimated_onset_s,error_s
OAKBAT,OS1,120.0,120.5,0.5
OAKBAT,OS2,120.0,142.5,22.5
OAKBAT,OS3,120.0,142.5,22.5
OAKBAT,OS4,120.0,142.5,22.5
