established_detection_rate,estimated_onset_s,family,finite_epochs,first_alarm_delay_s,longest_alarm_run_epochs,mean_participation,mean_tracked_prns,method,onset_error_s,pauc_fpr_0_05,persistent_alarm_ratio,pr_auc,pre_onset_fpr,roc_auc,scenario,score_total_prompt_power_pearson_r,score_total_prompt_power_spearman_rho,score_total_residual_energy_pearson_r,score_total_residual_energy_spearman_rho,transition_detection_rate
0.007352941176470588,,OS1,958,23.496751200000006,3,nan,11.0,A1,,0.5052730493906964,0.006944444444444444,0.7870253250387872,0.0,0.5698821195144725,OS1,,,,,0.0
0.004411764705882353,,OS1,958,1.9967788000000013,1,nan,11.0,A2,,0.5063863152098447,0.005555555555555556,0.804994186650301,0.0,0.6138772175536882,OS1,,,,,0.025
0.0,,OS1,958,1.9967788000000013,1,0.010817992028847978,11.0,A3,,0.5006944444444444,0.001388888888888889,0.7519108095569473,0.0,0.5006944444444444,OS1,,,,,0.025
0.1426470588235294,142.5,OS1,958,23.496751200000006,28,0.8190773760138018,11.0,A4,22.5,0.5135746606334841,0.13472222222222222,0.7360214376790646,0.17647058823529413,0.45416083099906635,OS1,,,,,0.0
0.0,120.5,OS1,958,1.9967788000000013,1,0.1487201842711247,11.0,A5,0.5,0.4986784596272062,0.001388888888888889,0.7519108095569473,0.004201680672268907,0.4985965219421102,OS1,,,,,0.025
0.0,1.0,OS1,958,nan,0,0.17753895426165628,11.0,A6,-119.0,0.5,0.0,0.7515657620041754,0.0,0.5,OS1,,,,,0.0
0.0,120.5,OS1,958,1.9967788000000013,1,0.24246993898478475,11.0,A7,0.5,0.4986784596272062,0.001388888888888889,0.7519108095569473,0.004201680672268907,0.4985965219421102,OS1,,,,,0.025
0.0,120.5,OS1,958,1.9967788000000013,1,0.24246993898478475,11.0,Full,0.5,0.4986784596272062,0.001388888888888889,0.7519108095569473,0.004201680672268907,0.4985965219421102,OS1,0.010501313011896446,0.04944518168558686,0.01073202009083353,0.046555246266411186,0.025
0.0,17.0,OS1,958,nan,1,0.3666672606881699,11.0,EPL3,-103.0,0.4979812113095806,0.0,0.7515657620041754,0.004201680672268907,0.49789915966386555,OS1,,,,,0.0
0.0058823529411764705,120.5,OS1,958,0.9967800000000011,5,0.30876140655990064,11.0,No-quotient,0.5,0.4918360872509344,0.016666666666666666,0.7476287670595511,0.037815126050420166,0.48928571428571427,OS1,,,,,0.2
0.014705882352941176,,OS2,958,23.496744199999995,3,nan,11.0,A1,,0.5120304532069238,0.013888888888888888,0.829116775972532,0.0,0.6646066760037348,OS2,,,,,0.0
0.9720588235294118,,OS2,958,0.49677520000000186,112,nan,11.0,A2,,0.9909621968445497,0.9722222222222222,0.9996997416487385,0.004201680672268907,0.9991188141923436,OS2,,,,,0.975
