trial,negative_bin_count,legacy_negative_persistent_alarm_rate,support_normalized_negative_persistent_alarm_rate,enriched_negative_bin_count,legacy_enriched_negative_persistent_alarm_rate,support_normalized_enriched_negative_persistent_alarm_rate,ds7_post_bin_count,legacy_ds7_persistent_detection,legacy_ds7_detection_delay_s,support_normalized_ds7_persistent_detection,support_normalized_ds7_detection_delay_s,legacy_specificity_gates_passed,support_normalized_specificity_gates_passed,legacy_primary_delay_gate_passed,support_normalized_primary_delay_gate_passed
49,90,0.16666666666666666,0.0,6,0.5,0.0,161,True,21.0,True,133.0,False,True,True,False
50,90,0.14444444444444443,0.011111111111111112,6,0.16666666666666666,0.0,161,True,31.0,True,135.0,False,True,True,False
51,90,0.18888888888888888,0.0,1,0.0,0.0,161,True,32.0,True,164.0,False,True,True,False
52,90,0.2222222222222222,0.044444444444444446,48,0.1875,0.0625,161,True,11.0,True,122.0,False,True,True,False
53,90,0.26666666666666666,0.0,6,0.0,0.0,161,True,13.0,True,123.0,False,True,True,False
54,90,0.2,0.0,4,0.0,0.0,161,True,40.0,True,167.0,False,True,True,False
55,90,0.24444444444444444,0.0,46,0.2826086956521739,0.0,161,True,41.0,True,131.0,False,True,True,False
56,90,0.25555555555555554,0.0,50,0.22,0.0,161,True,31.0,True,119.0,False,True,True,False
57,90,0.24444444444444444,0.0,50,0.24,0.0,161,True,18.0,True,133.0,False,True,True,False
58,90,0.05555555555555555,0.0,5,0.0,0.0,161,True,19.0,True,141.0,False,True,True,False
59,90,0.13333333333333333,0.0,2,0.0,0.0,161,True,19.0,True,168.0,False,True,True,False
60,90,0.26666666666666666,0.0,7,0.14285714285714285,0.0,161,True,16.0,True,123.0,False,True,True,False
61,90,0.17777777777777778,0.0,48,0.20833333333333334,0.0,161,True,11.0,True,135.0,False,True,True,False
62,90,0.24444444444444444,0.0,44,0.25,0.0,161,True,16.0,True,131.0,False,True,True,False
63,90,0.2777777777777778,0.0,43,0.27906976744186046,0.0,161,True,19.0,True,40.0,False,True,True,True
