epoch,train_loss,train_rmse,train_count,val_loss,val_rmse,val_count
1,0.2691373866406671,0.5187845281431079,8746,0.922571631759523,0.9605059248955848,1012
2,0.037108517681045526,0.19263571237194188,8746,0.41872960965152783,0.6470932001277157,1012
3,0.029231157718644162,0.17097121897747633,8746,0.28923441581575293,0.5378051838870215,1012
4,0.027619857714815364,0.166192231210774,8746,0.24534636217614877,0.4953245018936059,1012
5,0.026666555410771096,0.1632989755349711,8746,0.23557008514291214,0.48535562749690264,1012
6,0.025183781636880977,0.15869398739990428,8746,0.28834193167479144,0.5369747961262162,1012
7,0.025692888108765116,0.1602900125047257,8746,0.4046852541535268,0.6361487673127464,1012
8,0.024902350351251892,0.15780478557778876,8746,0.29957467859441583,0.5473341562468177,1012
9,0.024851483144649796,0.15764353188332783,8746,0.2285438326036506,0.4780625823086875,1012
10,0.02493011371483662,0.15789272850526279,8746,0.2943225976506712,0.542515066749921,1012
11,0.023247583209786784,0.15247158164650482,8746,0.4274754100166291,0.6538160368304139,1012
12,0.02448862518926943,0.15648841870652738,8746,0.2788099865668376,0.5280246079178863,1012
13,0.023232710990512124,0.15242280338096437,8746,0.3839959650642787,0.6196740797098735,1012
14,0.026682933558203687,0.1633491155721502,8746,0.19746119325811212,0.4443660577250609,1012
15,0.023013726482923887,0.15170275700501915,8746,0.24558567812320273,0.4955660179261717,1012
16,0.02357270095195803,0.15353403841480243,8746,0.19746354870174243,0.44436870805868234,1012
17,0.023676213858192952,0.15387076999285132,8746,0.24669833404744568,0.49668736046676853,1012
18,0.024268795610268137,0.15578445240224756,8746,0.1762262566287527,0.4197931116975988,1012
19,0.023398626374991016,0.15296609550809295,8746,0.16487566590780325,0.4060488467017278,1012
20,0.023436628605786217,0.15309026293591052,8746,0.26739235805428546,0.5170999497720778,1012
21,0.023653427508216467,0.15379670837900422,8746,0.13545269563264056,0.36803898656615247,1012
22,0.027222379409339005,0.16499205862507144,8746,0.35456399861060584,0.5954527677411583,1012
23,0.024148851790244563,0.1553990083309561,8746,0.23896612338868997,0.4888416138062409,1012
24,0.023091725632803897,0.15195961842806757,8746,0.27035870947856677,0.519960296059773,1012
25,0.022683377807251572,0.1506100189471191,8746,0.24042699106125964,0.4903335508215399,1012
