case_id,complex_scalar_imag,complex_scalar_real,control,control_delta_bic,control_recovered_delay_chips,control_recovered_doppler_hz,dataset,injected_delta_bic,paired_difference_delta_bic,strong_resolvable,target_prn
TEXBAT.cleanStatic.single.09,0.0,1.3478184682736527,GAIN_RMS_MATCHED,-20.70402430021204,-0.35,-75.0,TEXBAT.cleanStatic,392.4159767529927,413.12000105320476,True,30
TEXBAT.cleanStatic.single.10,0.0,1.2035120073469017,GAIN_RMS_MATCHED,-23.148868803167716,-0.35,-75.0,TEXBAT.cleanStatic,597.0405139625072,620.189382765675,True,3
TEXBAT.cleanStatic.single.11,0.0,1.1209477888786017,GAIN_RMS_MATCHED,-23.10920938383788,-0.35,-75.0,TEXBAT.cleanStatic,299.06237457925454,322.1715839630924,True,13
TEXBAT.cleanStatic.single.12,0.0,1.0429131410070847,GAIN_RMS_MATCHED,-23.167401494109072,-0.35,-75.0,TEXBAT.cleanStatic,2665.390222468879,2688.557623962988,False,16
TEXBAT.cleanStatic.single.13,0.0,1.3640177870245944,GAIN_RMS_MATCHED,-18.169554298001458,-0.35,-75.0,TEXBAT.cleanStatic,297.32799683886697,315.4975511368684,True,19
TEXBAT.cleanStatic.single.14,0.0,1.621148764454977,GAIN_RMS_MATCHED,-23.15697692229878,-0.35,-75.0,TEXBAT.cleanStatic,72.22721444396302,95.3841913662618,False,30
TEXBAT.cleanStatic.single.15,0.0,1.1095740505361018,GAIN_RMS_MATCHED,-23.148530250415206,-0.35,-75.0,TEXBAT.cleanStatic,569.0017971196212,592.1503273700364,False,3
TEXBAT.cleanStatic.single.16,0.0,1.0488770241994512,GAIN_RMS_MATCHED,-23.173429629881866,-0.35,-75.0,TEXBAT.cleanStatic,349.5102545018308,372.68368413171265,False,13
TEXBAT.cleanStatic.single.17,0.0,1.410423353182259,GAIN_RMS_MATCHED,-16.847522493248107,-0.35,-75.0,TEXBAT.cleanStatic,416.7561957834405,433.6037182766886,True,16
TEXBAT.cleanStatic.single.18,0.0,1.2138551318192319,GAIN_RMS_MATCHED,-23.079641056945547,-0.35,-75.0,TEXBAT.cleanStatic,878.5642463797703,901.6438874367159,True,19
TEXBAT.cleanStatic.single.19,0.0,1.093350546750196,GAIN_RMS_MATCHED,-23.101598234730773,-0.35,-75.0,TEXBAT.cleanStatic,466.86879605799913,489.9703942927299,True,30
TEXBAT.cleanStatic.single.20,0.0,1.0407534484406133,GAIN_RMS_MATCHED,-23.169747928506695,-0.35,-75.0,TEXBAT.cleanStatic,547.7133085834794,570.8830565119861,False,3
TEXBAT.cleanStatic.single.21,0.0,1.422792280156987,GAIN_RMS_MATCHED,-23.015544419467915,-0.35,-75.0,TEXBAT.cleanStatic,112.16942485840991,135.18496927787783,False,13
TEXBAT.cleanStatic.single.22,0.0,1.2186553889305425,GAIN_RMS_MATCHED,-23.131870570592582,-0.35,-75.0,TEXBAT.cleanStatic,1457.723193938844,1480.8550645094365,False,16
TEXBAT.cleanStatic.single.23,0.0,1.109618754457612,GAIN_RMS_MATCHED,-23.15326478087809,-0.35,-75.0,TEXBAT.cleanStatic,1010.3825481007807,1033.5358128816588,True,19
TEXBAT.cleanStatic.single.24,0.0,1.039939623094536,GAIN_RMS_MATCHED,-23.151913201087154,-0.35,-75.0,TEXBAT.cleanStatic,464.0431637968868,487.19507699797396,False,30
TEXBAT.cleanStatic.single.25,0.0,1.3451505942020285,GAIN_RMS_MATCHED,-17.508005866984604,-0.35,-75.0,TEXBAT.cleanStatic,291.4200874986709,308.9280933656555,True,3
TEXBAT.cleanStatic.single.26,0.0,1.2110593651045363,GAIN_RMS_MATCHED,-23.137666193884797,-0.35,-75.0,TEXBAT.cleanStatic,378.81049645040184,401.94816264428664,True,13
TEXBAT.cleanStatic.single.27,0.0,1.1042527145617889,GAIN_RMS_MATCHED,-23.167401494109072,-0.35,-75.0,TEXBAT.cleanStatic,2675.9957963521592,2699.1631978462683,True,16
