awgn_seed,case_id,complex_scalar_imag,complex_scalar_real,control,control_delta_bic,control_recovered_delay_chips,control_recovered_doppler_hz,dataset,injected_delta_bic,paired_difference_delta_bic,residual_rms,strong_resolvable,target_prn
,OAKBAT.cleanStatic.single.15,0.0,1.100005305136411,GAIN_RMS_MATCHED,-23.173429629881866,-0.35,-75.0,OAKBAT.cleanStatic,230.0665558394976,253.23998546937946,,False,10
20260828,OAKBAT.cleanStatic.single.15,,,AWGN_TAP_DOMAIN,-8.382069820538163,-0.35,-20.0,OAKBAT.cleanStatic,230.0665558394976,238.44862566003576,377286.41711518413,False,10
,OAKBAT.cleanStatic.single.16,0.0,1.0413287654666012,GAIN_RMS_MATCHED,-23.176436897949316,-0.35,-75.0,OAKBAT.cleanStatic,589.9827598622069,613.1591967601562,,False,11
20260829,OAKBAT.cleanStatic.single.16,,,AWGN_TAP_DOMAIN,-14.712188333738595,-0.35,65.0,OAKBAT.cleanStatic,589.9827598622069,604.6949481959455,270449.51592251286,False,11
,OAKBAT.cleanStatic.single.17,0.0,1.3478694108593423,GAIN_RMS_MATCHED,-22.855911277933046,-0.35,-75.0,OAKBAT.cleanStatic,766.7754144989885,789.6313257769216,,True,21
20260839,OAKBAT.cleanStatic.single.17,,,AWGN_TAP_DOMAIN,-10.719489148352295,-0.35,45.0,OAKBAT.cleanStatic,766.7754144989885,777.4949036473408,869208.6546670428,True,21
,OAKBAT.cleanStatic.single.18,0.0,1.1968094654111043,GAIN_RMS_MATCHED,-23.152589105186053,-0.35,-75.0,OAKBAT.cleanStatic,677.7940913196653,700.9466804248514,,True,24
20260842,OAKBAT.cleanStatic.single.18,,,AWGN_TAP_DOMAIN,-17.813472241628915,-0.1,-35.0,OAKBAT.cleanStatic,677.7940913196653,695.6075635612942,546303.6918291703,True,24
,OAKBAT.cleanStatic.single.19,0.0,1.0911992146141154,GAIN_RMS_MATCHED,-23.173095209756866,-0.35,-75.0,OAKBAT.cleanStatic,777.6765224463306,800.8496176560875,,True,27
20260845,OAKBAT.cleanStatic.single.19,,,AWGN_TAP_DOMAIN,-12.779633115511388,-0.35,-60.0,OAKBAT.cleanStatic,777.6765224463306,790.456155561842,404772.5971097189,True,27
,OAKBAT.cleanStatic.single.20,0.0,1.037660490460066,GAIN_RMS_MATCHED,-23.176770759979263,-0.35,-75.0,OAKBAT.cleanStatic,434.51811899384484,457.6948897538241,,False,10
20260828,OAKBAT.cleanStatic.single.20,,,AWGN_TAP_DOMAIN,-13.134731181431562,-0.125,45.0,OAKBAT.cleanStatic,434.51811899384484,447.6528501752764,258744.60570108928,False,10
,OAKBAT.cleanStatic.single.21,0.0,1.3650090617284176,GAIN_RMS_MATCHED,-23.167736867559142,-0.35,-75.0,OAKBAT.cleanStatic,77.66108531225473,100.82882217981387,,False,11
20260829,OAKBAT.cleanStatic.single.21,,,AWGN_TAP_DOMAIN,-17.162234333343804,0.35,-65.0,OAKBAT.cleanStatic,77.66108531225473,94.82331964559853,196755.80128949546,False,11
,OAKBAT.cleanStatic.single.22,0.0,1.190499421768185,GAIN_RMS_MATCHED,-23.170082908822224,-0.35,-75.0,OAKBAT.cleanStatic,1067.2206777194515,1090.3907606282737,,False,21
20260839,OAKBAT.cleanStatic.single.22,,,AWGN_TAP_DOMAIN,-10.66676184674725,-0.325,45.0,OAKBAT.cleanStatic,1067.2206777194515,1077.8874395661987,536329.8532190992,False,21
,OAKBAT.cleanStatic.single.23,0.0,1.1045336703526067,GAIN_RMS_MATCHED,-23.173763994243927,-0.35,-75.0,OAKBAT.cleanStatic,465.4319787286222,488.6057427228661,,True,24
20260842,OAKBAT.cleanStatic.single.23,,,AWGN_TAP_DOMAIN,-15.349042851943523,0.35,-55.0,OAKBAT.cleanStatic,465.4319787286222,480.7810215805657,441652.46240454464,True,24
,OAKBAT.cleanStatic.single.24,0.0,1.039558456956304,GAIN_RMS_MATCHED,-23.177772011607885,-0.35,-75.0,OAKBAT.cleanStatic,782.8310689590871,806.008840970695,,False,27
20260845,OAKBAT.cleanStatic.single.24,,,AWGN_TAP_DOMAIN,-10.983905801549554,-0.125,75.0,OAKBAT.cleanStatic,782.8310689590871,793.8149747606367,265390.4532015863,False,27
,OAKBAT.cleanStatic.single.25,0.0,1.3571179364928527,GAIN_RMS_MATCHED,-22.8310662379954,-0.35,-75.0,OAKBAT.cleanStatic,398.70517294248566,421.53623918048106,,True,10
20260828,OAKBAT.cleanStatic.single.25,,,AWGN_TAP_DOMAIN,-14.380897759459913,0.075,15.0,OAKBAT.cleanStatic,398.70517294248566,413.0860707019456,1268900.2621309117,True,10
