awgn_seed,case_id,control,control_delta_bic,control_recovered_delay_chips,control_recovered_doppler_hz,dataset,injected_delta_bic,paired_difference_delta_bic,residual_rms,strong_resolvable,target_prn
20260845,OAKBAT.cleanStatic.single.14,AWGN_TAP_DOMAIN,-12.850788505282253,-0.325,10.0,OAKBAT.cleanStatic,53.98316639335826,66.83395489864051,135751.78480249387,False,27
20260828,OAKBAT.cleanStatic.single.15,AWGN_TAP_DOMAIN,-8.382069820538163,-0.35,-20.0,OAKBAT.cleanStatic,230.0665558394976,238.44862566003576,377286.41711518413,False,10
20260829,OAKBAT.cleanStatic.single.16,AWGN_TAP_DOMAIN,-14.712188333738595,-0.35,65.0,OAKBAT.cleanStatic,589.9827598622069,604.6949481959455,270449.51592251286,False,11
20260839,OAKBAT.cleanStatic.single.17,AWGN_TAP_DOMAIN,-10.719489148352295,-0.35,45.0,OAKBAT.cleanStatic,766.7754144989885,777.4949036473408,869208.6546670428,True,21
20260842,OAKBAT.cleanStatic.single.18,AWGN_TAP_DOMAIN,-17.813472241628915,-0.1,-35.0,OAKBAT.cleanStatic,677.7940913196653,695.6075635612942,546303.6918291703,True,24
20260845,OAKBAT.cleanStatic.single.19,AWGN_TAP_DOMAIN,-12.779633115511388,-0.35,-60.0,OAKBAT.cleanStatic,777.6765224463306,790.456155561842,404772.5971097189,True,27
20260828,OAKBAT.cleanStatic.single.20,AWGN_TAP_DOMAIN,-13.134731181431562,-0.125,45.0,OAKBAT.cleanStatic,434.51811899384484,447.6528501752764,258744.60570108928,False,10
20260829,OAKBAT.cleanStatic.single.21,AWGN_TAP_DOMAIN,-17.162234333343804,0.35,-65.0,OAKBAT.cleanStatic,77.66108531225473,94.82331964559853,196755.80128949546,False,11
20260839,OAKBAT.cleanStatic.single.22,AWGN_TAP_DOMAIN,-10.66676184674725,-0.325,45.0,OAKBAT.cleanStatic,1067.2206777194515,1077.8874395661987,536329.8532190992,False,21
20260842,OAKBAT.cleanStatic.single.23,AWGN_TAP_DOMAIN,-15.349042851943523,0.35,-55.0,OAKBAT.cleanStatic,465.4319787286222,480.7810215805657,441652.46240454464,True,24
20260845,OAKBAT.cleanStatic.single.24,AWGN_TAP_DOMAIN,-10.983905801549554,-0.125,75.0,OAKBAT.cleanStatic,782.8310689590871,793.8149747606367,265390.4532015863,False,27
20260828,OAKBAT.cleanStatic.single.25,AWGN_TAP_DOMAIN,-14.380897759459913,0.075,15.0,OAKBAT.cleanStatic,398.70517294248566,413.0860707019456,1268900.2621309117,True,10
20260829,OAKBAT.cleanStatic.single.26,AWGN_TAP_DOMAIN,-16.049271202646196,-0.35,-30.0,OAKBAT.cleanStatic,619.4775403100066,635.5268115126528,582139.6658732597,True,11
20260839,OAKBAT.cleanStatic.single.27,AWGN_TAP_DOMAIN,-16.014466182794422,-0.05,70.0,OAKBAT.cleanStatic,1096.9154452681541,1112.9299114509486,416939.88630169886,True,21
20260821,TEXBAT.cleanStatic.single.00,AWGN_TAP_DOMAIN,-13.354713891632855,0.275,-20.0,TEXBAT.cleanStatic,31.212689597625285,44.56740348925814,185960.53275868803,False,3
20260831,TEXBAT.cleanStatic.single.01,AWGN_TAP_DOMAIN,-10.510783200501464,0.35,-75.0,TEXBAT.cleanStatic,450.99216175975744,461.5029449602589,6962313.179230088,False,13
20260834,TEXBAT.cleanStatic.single.02,AWGN_TAP_DOMAIN,-11.246084464713931,-0.35,-40.0,TEXBAT.cleanStatic,2624.942781439051,2636.188865903765,2902715.295221387,True,16
20260837,TEXBAT.cleanStatic.single.03,AWGN_TAP_DOMAIN,-9.01824128581211,-0.05,20.0,TEXBAT.cleanStatic,994.2935716644861,1003.3118129502982,1672710.0194202717,True,19
20260848,TEXBAT.cleanStatic.single.04,AWGN_TAP_DOMAIN,-12.82632501469925,-0.25,-35.0,TEXBAT.cleanStatic,602.408575413283,615.2349004279822,465472.12771052215,False,30
20260821,TEXBAT.cleanStatic.single.05,AWGN_TAP_DOMAIN,-9.230456004384905,-0.35,35.0,TEXBAT.cleanStatic,295.70906730846036,304.93952331284527,4078555.0041748383,True,3
