budget,clean_residual_variance,delay_chips,doppler_hz,group,index,label,mean_glrt_improvement_contribution,mean_h0_rss_contribution,mean_h1_rss_contribution,stage
5,0.0001830939748271598,0.0,0.0,clean_holdout,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.025769538703798497,0.4074167899867451,0.3816472512829465,K3
5,0.0005849422997464875,0.25,-100.0,clean_holdout,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.3493531000304298,1.0023820642126715,0.6530289641822417,K3
5,0.0005654000022730033,-0.25,100.0,clean_holdout,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6287955464038144,1.2886438069888428,0.6598482605850285,K3
5,0.0012511180291322709,-0.375,-250.0,clean_holdout,5,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6678270810203041,1.593775020959437,0.9259479399391327,K5_new
5,0.0012122620963386094,0.375,250.0,clean_holdout,181,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.2794503183615284,1.0049241671615299,0.7254738488000017,K5_new
5,0.0001830939748271598,0.0,0.0,ds3,93,POST_HOC_DIAGNOSTIC,1.4182561089714554,7.305156259984819,5.886900151013363,K3
5,0.0005849422997464875,0.25,-100.0,ds3,61,POST_HOC_DIAGNOSTIC,5.978895918149491,18.60274344287559,12.623847524726095,K3
5,0.0005654000022730033,-0.25,100.0,ds3,125,POST_HOC_DIAGNOSTIC,9.209950170347222,21.538498192272844,12.32854802192562,K3
5,0.0012511180291322709,-0.375,-250.0,ds3,5,POST_HOC_DIAGNOSTIC,-1.0295479284637528,13.140304978702433,14.169852907166183,K5_new
5,0.0012122620963386094,0.375,250.0,ds3,181,POST_HOC_DIAGNOSTIC,-0.14149069279217968,18.025537695932684,18.167028388724862,K5_new
5,0.0001830939748271598,0.0,0.0,ds4,93,POST_HOC_DIAGNOSTIC,0.5569881397361867,2.6663961944865733,2.109408054750387,K3
5,0.0005849422997464875,0.25,-100.0,ds4,61,POST_HOC_DIAGNOSTIC,0.4952730659764387,2.3930285100942448,1.8977554441178064,K3
5,0.0005654000022730033,-0.25,100.0,ds4,125,POST_HOC_DIAGNOSTIC,0.37828420090075154,1.635627803370534,1.2573436024697826,K3
5,0.0012511180291322709,-0.375,-250.0,ds4,5,POST_HOC_DIAGNOSTIC,0.44074297149549047,1.3665656336282361,0.9258226621327456,K5_new
5,0.0012122620963386094,0.375,250.0,ds4,181,POST_HOC_DIAGNOSTIC,0.47754349130056023,1.4261244757451919,0.9485809844446316,K5_new
5,0.0001830939748271598,0.0,0.0,ds7_ds8,93,POST_HOC_DIAGNOSTIC,0.01501425568256837,2.750217602707076,2.7352033470245076,K3
5,0.0005849422997464875,0.25,-100.0,ds7_ds8,61,POST_HOC_DIAGNOSTIC,0.4706395758119227,12.430530422246118,11.959890846434194,K3
5,0.0005654000022730033,-0.25,100.0,ds7_ds8,125,POST_HOC_DIAGNOSTIC,3.1705836400792435,7.473848895801363,4.303265255722119,K3
5,0.0012511180291322709,-0.375,-250.0,ds7_ds8,5,POST_HOC_DIAGNOSTIC,-1.8561866043494977,4.761321304434428,6.617507908783924,K5_new
5,0.0012122620963386094,0.375,250.0,ds7_ds8,181,POST_HOC_DIAGNOSTIC,7.837367678033867,22.441297854855996,14.603930176822127,K5_new
9,0.0001830939748271598,0.0,0.0,clean_train,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.018745363376690874,0.5713568042909856,0.5526114409142947,K3
9,0.0005849422997464875,0.25,-100.0,clean_train,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.34404297650507076,0.7819164503199254,0.43787347381485475,K3
9,0.0005654000022730033,-0.25,100.0,clean_train,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.46878184854503346,0.9047898013712221,0.4360079528261887,K3
9,0.0012511180291322709,-0.375,-250.0,clean_train,5,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.08361139150090609,1.0443036679144626,0.9606922764135564,K5_new
9,0.0012122620963386094,0.375,250.0,clean_train,181,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.30202775900900375,0.983295695993536,0.6812679369845323,K5_new
9,0.0007308735950244662,-0.25,-150.0,clean_train,40,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.24764235237016438,0.9409530371780093,0.693310684807845,K9_new
9,0.0006379459424462788,0.25,150.0,clean_train,146,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.327175850341759,0.8664870375366112,0.5393111871948522,K9_new
9,0.0006731293174287576,0.25,-150.0,clean_train,44,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.31718840525411096,0.822264880375683,0.5050764751215722,K9_new
9,0.0006203732431215048,-0.25,150.0,clean_train,142,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.4202597935307065,0.8929600802867412,0.47270028675603465,K9_new
9,0.0001830939748271598,0.0,0.0,clean_selection,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.05533558450723882,0.6330535221846522,0.5777179376774134,K3
9,0.0005849422997464875,0.25,-100.0,clean_selection,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6963835229665188,1.248724408398779,0.55234088543226,K3
9,0.0005654000022730033,-0.25,100.0,clean_selection,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.7646673281070063,1.4506826490307452,0.6860153209237385,K3
9,0.0012511180291322709,-0.375,-250.0,clean_selection,5,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.2695308576919864,1.4129690135527957,1.1434381558608093,K5_new
9,0.0012122620963386094,0.375,250.0,clean_selection,181,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.2835235724719723,1.184565819397459,0.9010422469254867,K5_new
9,0.0007308735950244662,-0.25,-150.0,clean_selection,40,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.21392991350607932,0.9512051085155199,0.7372751950094404,K9_new
9,0.0006379459424462788,0.25,150.0,clean_selection,146,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.26065568353954505,1.0244027787754835,0.7637470952359384,K9_new
9,0.0006731293174287576,0.25,-150.0,clean_selection,44,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6263734116576747,1.2268099937464265,0.600436582088752,K9_new
9,0.0006203732431215048,-0.25,150.0,clean_selection,142,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6934016781268703,1.4622530364966986,0.7688513583698285,K9_new
9,0.0001830939748271598,0.0,0.0,clean_calibration,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.013866029914396626,0.6206539499334394,0.6067879200190426,K3
9,0.0005849422997464875,0.25,-100.0,clean_calibration,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.4119659862304615,0.8165535080237861,0.40458752179332463,K3
9,0.0005654000022730033,-0.25,100.0,clean_calibration,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.47750471995258054,0.8861580862715707,0.40865336631899013,K3
9,0.0012511180291322709,-0.375,-250.0,clean_calibration,5,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.20065457564559408,0.8620861598812015,0.6614315842356076,K5_new
9,0.0012122620963386094,0.375,250.0,clean_calibration,181,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.15379225324689638,0.8268827291887983,0.6730904759419019,K5_new
9,0.0007308735950244662,-0.25,-150.0,clean_calibration,40,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.2593346336896992,0.786494460058888,0.5271598263691887,K9_new
9,0.0006379459424462788,0.25,150.0,clean_calibration,146,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.28116677857813244,0.8272593778319267,0.5460925992537942,K9_new
9,0.0006731293174287576,0.25,-150.0,clean_calibration,44,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.3573953129618852,0.8255885628680493,0.468193249906164,K9_new
9,0.0006203732431215048,-0.25,150.0,clean_calibration,142,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.4982330952975748,0.9379474368975768,0.43971434160000206,K9_new
9,0.0001830939748271598,0.0,0.0,clean_holdout,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.014598538993645674,0.6945901562933913,0.6799916172997457,K3
9,0.0005849422997464875,0.25,-100.0,clean_holdout,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.4022106565324888,0.9830248726463787,0.5808142161138901,K3
9,0.0005654000022730033,-0.25,100.0,clean_holdout,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6091558450047412,1.1870333293305533,0.5778774843258123,K3
9,0.0012511180291322709,-0.375,-250.0,clean_holdout,5,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.43559206112353244,1.5941981726233176,1.1586061114997854,K5_new
9,0.0012122620963386094,0.375,250.0,clean_holdout,181,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.18349533604423862,0.9935018055114676,0.8100064694672288,K5_new
9,0.0007308735950244662,-0.25,-150.0,clean_holdout,40,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.3238738097007819,0.9476043518826841,0.6237305421819022,K9_new
9,0.0006379459424462788,0.25,150.0,clean_holdout,146,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.29138758774195744,1.088830462002591,0.7974428742606336,K9_new
9,0.0006731293174287576,0.25,-150.0,clean_holdout,44,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.38579507518565687,1.0420830569404205,0.6562879817547634,K9_new
9,0.0006203732431215048,-0.25,150.0,clean_holdout,142,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6453855853255241,1.2542687817846727,0.6088831964591487,K9_new
9,0.0001830939748271598,0.0,0.0,ds3,93,POST_HOC_DIAGNOSTIC,1.5062285327847604,12.967954961690246,11.461726428905486,K3
9,0.0005849422997464875,0.25,-100.0,ds3,61,POST_HOC_DIAGNOSTIC,7.5163617497365145,17.7580915162554,10.241729766518887,K3
9,0.0005654000022730033,-0.25,100.0,ds3,125,POST_HOC_DIAGNOSTIC,9.428977896804716,19.68097724892716,10.251999352122446,K3
9,0.0012511180291322709,-0.375,-250.0,ds3,5,POST_HOC_DIAGNOSTIC,-1.7907307304174964,12.440202434372324,14.230933164789821,K5_new
9,0.0012122620963386094,0.375,250.0,ds3,181,POST_HOC_DIAGNOSTIC,-2.133476674258667,17.502083784892374,19.635560459151037,K5_new
9,0.0007308735950244662,-0.25,-150.0,ds3,40,POST_HOC_DIAGNOSTIC,1.6010187741910777,14.156274608022033,12.555255833830952,K9_new
9,0.0006379459424462788,0.25,150.0,ds3,146,POST_HOC_DIAGNOSTIC,2.750436254709423,16.47127332088071,13.720837066171285,K9_new
9,0.0006731293174287576,0.25,-150.0,ds3,44,POST_HOC_DIAGNOSTIC,3.4294819690241702,15.636704645360249,12.207222676336078,K9_new
9,0.0006203732431215048,-0.25,150.0,ds3,142,POST_HOC_DIAGNOSTIC,6.948559786432811,17.508807146654796,10.560247360221982,K9_new
9,0.0001830939748271598,0.0,0.0,ds4,93,POST_HOC_DIAGNOSTIC,0.4811702198420161,4.910627919220668,4.429457699378653,K3
9,0.0005849422997464875,0.25,-100.0,ds4,61,POST_HOC_DIAGNOSTIC,0.5537310338584076,1.720419875405701,1.1666888415472936,K3
9,0.0005654000022730033,-0.25,100.0,ds4,125,POST_HOC_DIAGNOSTIC,0.46875658177676965,1.169227777448493,0.7004711956717232,K3
9,0.0012511180291322709,-0.375,-250.0,ds4,5,POST_HOC_DIAGNOSTIC,0.2814625967928972,1.2462845257870303,0.9648219289941331,K5_new
9,0.0012122620963386094,0.375,250.0,ds4,181,POST_HOC_DIAGNOSTIC,0.25802501863534044,1.1653882354931786,0.9073632168578382,K5_new
9,0.0007308735950244662,-0.25,-150.0,ds4,40,POST_HOC_DIAGNOSTIC,-0.04444035078406637,0.844057273954205,0.8884976247382715,K9_new
9,0.0006379459424462788,0.25,150.0,ds4,146,POST_HOC_DIAGNOSTIC,0.40249587196596315,1.5067852713020455,1.1042893993360825,K9_new
9,0.0006731293174287576,0.25,-150.0,ds4,44,POST_HOC_DIAGNOSTIC,0.4085054332668771,1.4352659520561697,1.0267605187892925,K9_new
9,0.0006203732431215048,-0.25,150.0,ds4,142,POST_HOC_DIAGNOSTIC,0.3908692278803395,1.065735363459921,0.6748661355795814,K9_new
9,0.0001830939748271598,0.0,0.0,ds7_ds8,93,POST_HOC_DIAGNOSTIC,0.11219400872006555,4.566287615840138,4.454093607120073,K3
9,0.0005849422997464875,0.25,-100.0,ds7_ds8,61,POST_HOC_DIAGNOSTIC,3.3560278493490725,11.052306259691575,7.6962784103425,K3
9,0.0005654000022730033,-0.25,100.0,ds7_ds8,125,POST_HOC_DIAGNOSTIC,4.575787035001769,8.170159892002355,3.594372857000586,K3
9,0.0012511180291322709,-0.375,-250.0,ds7_ds8,5,POST_HOC_DIAGNOSTIC,-3.265330203424773,5.07590887696229,8.341239080387064,K5_new
9,0.0012122620963386094,0.375,250.0,ds7_ds8,181,POST_HOC_DIAGNOSTIC,3.849338043621118,21.600111049199548,17.75077300557843,K5_new
9,0.0007308735950244662,-0.25,-150.0,ds7_ds8,40,POST_HOC_DIAGNOSTIC,-0.7026964974485514,5.871359148368326,6.574055645816878,K9_new
9,0.0006379459424462788,0.25,150.0,ds7_ds8,146,POST_HOC_DIAGNOSTIC,4.394559909229638,10.448069498083408,6.053509588853771,K9_new
9,0.0006731293174287576,0.25,-150.0,ds7_ds8,44,POST_HOC_DIAGNOSTIC,1.9416475361592946,9.547292259022418,7.605644722863122,K9_new
9,0.0006203732431215048,-0.25,150.0,ds7_ds8,142,POST_HOC_DIAGNOSTIC,2.296738292506281,7.249241907597839,4.952503615091557,K9_new
