budget,comparison,dof_status,dof_unavailable_count,family_pauc,family_pauc_change,group,label,mean_delta_bic,mean_delta_bic_change,mean_dof_corrected,mean_dof_corrected_change,mean_improvement_per_k,mean_improvement_per_k_change,mean_raw_rss_improvement,mean_raw_rss_improvement_change,mean_rss_h0,mean_rss_h0_change,mean_rss_h1,mean_rss_h1_change,mean_second_amplitude,n,row_type,threshold,threshold_change,worst_fpr,worst_fpr_change
3,,AVAILABLE,0,,,clean_train,,-3.706700399954328,,21.106797412122603,,0.5767229128263153,,1.7301687384789457,,2.0515075336061783,,0.3213387951272324,,0.053785675584571244,180,,,,,
3,,AVAILABLE,0,,,clean_selection,,-1.5759862891889822,,67.92252166601708,,0.9318419312872063,,2.795525793861619,,3.13170654131899,,0.33618074745737114,,0.06093311771181519,120,,,,,
3,,AVAILABLE,0,,,clean_calibration,,-3.7371684349289254,,64.66829692922671,,0.5716449069972157,,1.714934720991647,,2.1043562263827207,,0.38942150539107384,,0.05503283437402923,140,,,,,
3,,AVAILABLE,0,,,clean_holdout,,-2.79600550533523,,75.96334349502386,,0.7285053952628316,,2.185516185788495,,2.604421484754932,,0.4189052989664373,,0.06068474434209446,132,,0.7012737402751801,,0.08333333333333333,
3,,AVAILABLE,0,0.9893162393162394,,ds3,,77.09754245500184,,126.37104355837364,,14.04409672198568,,42.13229016595703,,46.809470806722764,,4.677180640765725,,0.25092618631486613,415,,,,,
3,,AVAILABLE,0,0.9679487179487178,,ds4,,0.40177576386941033,,1.4430564864994766,,1.2614689401302717,,3.784406820390815,,6.540489469436233,,2.7560826490454167,,0.11295692400339936,160,,,,,
3,,AVAILABLE,0,0.8076923076923077,,ds7_ds8,,34.1708794662898,,198.09634093195638,,6.88965289053367,,20.668958671601004,,22.004309155966695,,1.3353504843656865,,0.15693361935311956,965,,,,,
3,,AVAILABLE,0,,,synthetic_h1,,2308.0319802799895,,3037.967385420153,,385.8665030261503,,1157.5995090784509,,1159.669329565363,,2.069820486912089,,0.9286818629857706,320,,,,,
5,,AVAILABLE,0,,,clean_train,,-6.249308760673269,,0.9548420441469555,,0.29610316113029156,,1.4805158056514576,,4.185857333254799,,2.7053415276033417,,0.03759277356689271,180,,,,,
5,,AVAILABLE,0,,,clean_selection,,-4.515520646380005,,0.9449051882874324,,0.469481972559618,,2.3474098627980897,,5.834883760876805,,3.487473898078716,,0.04818444720269953,120,,,,,
5,,AVAILABLE,0,,,clean_calibration,,-6.203291040882417,,1.0527342860339826,,0.30070493310937657,,1.5035246655468832,,3.898027975432341,,2.3945033098854585,,0.040185742828373956,140,,,,,
5,,AVAILABLE,0,,,clean_holdout,,-5.307949202936432,,0.9618881136570447,,0.39023911690397506,,1.9511955845198752,,5.297141849309227,,3.345946264789351,,0.045559157745217224,132,,0.2928104230942718,,0.3,
5,,AVAILABLE,0,0.9786324786324787,,ds3,,21.6617867804483,,0.47057526439820835,,3.0872127152424484,,15.436063576212243,,78.61224056976836,,63.17617699355612,,0.11335841863041583,415,,,,,
5,,AVAILABLE,0,0.9358974358974359,,ds4,,-4.512676633157329,,0.414406048542311,,0.46976637388188547,,2.348831869409427,,9.48774261732478,,7.138910747915354,,0.04854117678098867,160,,,,,
5,,AVAILABLE,0,0.7275641025641025,,ds7_ds8,,10.064496718540022,,0.5993458808764164,,1.9274837090516208,,9.637418545258106,,49.85721608004498,,40.21979753478687,,0.0999286223405502,965,,,,,
5,,AVAILABLE,0,,,synthetic_h1,,5411.473187950558,,492.9020675698133,,542.0683528322534,,2710.3417641612673,,2720.6233539475156,,10.28158978624853,,0.9217910115774369,320,,,,,
9,,AVAILABLE,0,,,clean_train,,-6.502535550717769,,1.935223935328169,,0.28105286004816055,,2.529475740433445,,7.808327455267176,,5.27885171483373,,0.035228201015372766,180,,,,,
