budget,final_loss,input_role,mask,median_pairwise_jaccard,seed,synthetic_teacher_spearman
3,0.006369162954449719,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081014,0.9692933401118454
5,0.006610793198081012,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081014,0.9777539072109156
9,0.005959874386806764,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081014,0.981929252013054
3,0.006568239682038377,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081015,0.9692933401118454
5,0.0060392792273953715,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081015,0.9777539072109156
9,0.006320744259874688,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081015,0.981929252013054
3,0.006609215762596693,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081016,0.9692933401118454
5,0.0060201073556060474,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081016,0.9777539072109156
9,0.006358243471772266,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081016,0.981929252013054
3,0.006044238824478581,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081017,0.9692933401118454
5,0.006162838548936669,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,40,146]",1.0,2026081017,0.979193794381488
9,0.006244774577327742,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081017,0.981929252013054
3,0.006022837904802419,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081018,0.9692933401118454
5,0.005941972344032168,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081018,0.9777539072109156
9,0.006453701265792979,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081018,0.981929252013054
3,0.006152114236167093,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081019,0.9692933401118454
5,0.0063060072493491305,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,40,146]",1.0,2026081019,0.979193794381488
9,0.006551984305309727,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081019,0.981929252013054
3,0.005940650742408719,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081020,0.9692933401118454
5,0.006337513413828154,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081020,0.9777539072109156
9,0.0063145556010503895,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081020,0.981929252013054
