method,correlations_per_prn_epoch,median_latency_ms,iqr_latency_ms,estimated_working_memory_bytes,real_time_factor_1ms,repetitions,warmup,includes_raw_read_wipeoff_code_replica_correlation,cpu,platform,dense_correlation_reduction,measured_dense_speedup
pg_scc_k3,3,18.878191000112565,0.17454749831813388,2200000,18.878191000112565,7,1,True,x86_64,Linux-6.8.0-137-generic-x86_64-with-glibc2.39,0.983957219251337,5.725161272133928
pg_scc_k5,5,32.00206200199318,0.9184044974972494,3400000,32.00206200199318,7,1,True,x86_64,Linux-6.8.0-137-generic-x86_64-with-glibc2.39,0.9732620320855615,3.377303874827195
pg_scc_k9,9,55.642343999352306,1.3772965012321947,5800000,55.642343999352306,7,1,True,x86_64,Linux-6.8.0-137-generic-x86_64-with-glibc2.39,0.9518716577540107,1.9424179542660858
fixed9,9,56.69162100093672,0.8621955003036419,5800000,56.69162100093672,7,1,True,x86_64,Linux-6.8.0-137-generic-x86_64-with-glibc2.39,0.9518716577540107,1.9064667069584391
dense_grid,187,108.08068800179171,4.202377002002322,112600000,108.08068800179171,7,1,True,x86_64,Linux-6.8.0-137-generic-x86_64-with-glibc2.39,0.0,1.0
