scenario,phase,second,time_s,channel,prn,raw_start_sample,raw_end_sample,raw_power,prompt_magnitude,method,budget,score
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,dense_two_source_glrt,187,0.10055455869857542
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,dense_one_source_residual,187,0.6941896871066819
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,raw_power_only,0,5594358.2711040005
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,analytic_sparse_k3,3,0.1269198811009348
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,uniform_k3,3,0.18056235937164908
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,shuffled_k3,3,0.060563756754304005
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,analytic_sparse_k5,5,0.2701759293187257
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,uniform_k5,5,0.07244347623039642
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,shuffled_k5,5,0.06320609600612245
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,analytic_sparse_k9,9,0.1282749692540255
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,uniform_k9,9,0.018904855422260565
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,shuffled_k9,9,0.4327753237785804
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,ai_sparse_k3,3,1.5245899335541921
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,pg_scc_k3,3,0.9801711405449605
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,ai_sparse_k5,5,0.9347415151863284
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,pg_scc_k5,5,0.5129239154951769
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,ai_sparse_k9,9,0.7684706761344093
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,pg_scc_k9,9,0.6312333034423372
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,epl3,3,0.4702241730304982
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,fixed9,9,0.8016131074949322
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random1_k3,3,0.13032210863934168
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random2_k3,3,0.2780070240333089
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random3_k3,3,0.9547181502827522
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random4_k3,3,0.1076623567056079
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random5_k3,3,0.4541762390624375
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random1_k5,5,0.8634442666816732
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random2_k5,5,0.07988710079983899
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random3_k5,5,0.20777820431684182
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random4_k5,5,0.16707868945640575
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random5_k5,5,0.677054996232552
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random1_k9,9,0.49979703728067076
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random2_k9,9,0.09652892686366105
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random3_k9,9,0.338038906064978
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random4_k9,9,0.19355240769950616
cleanStatic,train,10,10.022221,0,16,250305525,250805525,5594358.2711040005,4869337.429395612,random5_k9,9,0.35643178999411745
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,dense_two_source_glrt,187,0.025008532268749186
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,dense_one_source_residual,187,0.1806229481000028
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,raw_power_only,0,5597964.422556
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,analytic_sparse_k3,3,0.07356123732541926
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,uniform_k3,3,0.20573741873029408
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,shuffled_k3,3,0.14358186864015682
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,analytic_sparse_k5,5,0.12628116833570807
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,uniform_k5,5,0.09636117836872908
cleanStatic,train,10,10.02656428,2,3,250414107,250914107,5597964.422556,5988331.755847574,shuffled_k5,5,0.04061648684279906
