scenario,family,method,budget,roc_auc,pr_auc,normalized_low_fpr_pauc,events,alarms,detection_rate,first_alarm_delay_s,persistent_alarm_ratio,external_pre_events,external_pre_alarms,external_pre_fpr,clean_holdout_events,clean_holdout_alarms,clean_holdout_fpr,clean_holdout_fpr_ci95,claim_scope
ds3,ds3,ai_sparse_k3,3,0.9965277777777778,0.9991666666666668,0.9893162393162394,48,48,1.0,0.021776791999982947,1.0,12,6,0.5,12,2,0.16666666666666666,"[0.02086252546009238, 0.48413774868596704]",transition_and_established
ds3,ds3,ai_sparse_k5,5,0.9947916666666667,0.9987326388888891,0.9786324786324787,48,47,0.9791666666666666,2.0953528549999874,0.9791666666666666,12,2,0.16666666666666666,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
ds3,ds3,ai_sparse_k9,9,0.9965277777777778,0.9991666666666668,0.9893162393162394,48,47,0.9791666666666666,2.0953528549999874,0.9791666666666666,12,1,0.08333333333333333,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds3,ds3,analytic_sparse_k3,3,0.9722222222222222,0.9939087733384044,0.9679487179487178,48,44,0.9166666666666666,2.0953528549999874,0.9166666666666666,12,1,0.08333333333333333,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds3,ds3,analytic_sparse_k5,5,0.9756944444444443,0.9947856304691898,0.9572649572649572,48,40,0.8333333333333334,15.101513675555566,0.8333333333333334,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds3,ds3,analytic_sparse_k9,9,0.9965277777777778,0.9991666666666668,0.9893162393162394,48,45,0.9375,8.099603614999992,0.9375,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds3,ds3,dense_one_source_residual,187,0.9930555555555556,0.9983974358974361,0.9893162393162394,48,47,0.9791666666666666,2.0953528549999874,0.9791666666666666,12,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
ds3,ds3,dense_two_source_glrt,187,0.9913194444444444,0.9978972196147965,0.9679487179487178,48,37,0.7708333333333334,12.13314004,0.7708333333333334,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds3,ds3,epl3,3,0.9930555555555556,0.9983163265306123,0.9786324786324787,48,30,0.625,25.112513337777784,0.625,12,0,0.0,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds3,ds3,fixed9,9,1.0,1.0000000000000002,1.0,48,48,1.0,0.021776791999982947,1.0,12,2,0.16666666666666666,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds3,ds3,pg_scc_k3,3,0.9947916666666666,0.9987745098039218,0.9893162393162394,48,47,0.9791666666666666,2.0953528549999874,0.9791666666666666,12,1,0.08333333333333333,12,0,0.0,"[0.0, 0.26464846939705117]",transition_and_established
ds3,ds3,pg_scc_k5,5,0.9878472222222222,0.9972511574074076,0.9786324786324787,48,47,0.9791666666666666,2.0953528549999874,0.9791666666666666,12,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
ds3,ds3,pg_scc_k9,9,0.986111111111111,0.9969144570707072,0.9786324786324787,48,46,0.9583333333333334,2.0953528549999874,0.9583333333333334,12,0,0.0,12,1,0.08333333333333333,"[0.0021075932318602286, 0.38479616515094406]",transition_and_established
