scenario,budget,adaptive_model,competitor,adaptive_roc_auc,competitor_roc_auc,delta_roc_auc,adaptive_pr_auc,competitor_pr_auc,delta_pr_auc,adaptive_post_detection_rate,competitor_post_detection_rate,delta_post_detection_rate,adaptive_stable_pre_fpr,competitor_stable_pre_fpr
DS1,5,complex adaptive K5,complex fixed K5,0.9628038674033148,0.9638674033149172,-0.0010635359116023535,0.9951118886107508,0.9952848107783956,-0.0001729221676447512,0.8701657458563536,0.9212707182320442,-0.05110497237569056,0.0,0.01
DS1,5,complex adaptive K5,complex random K5 seed11,0.9628038674033148,0.9426933701657458,0.02011049723756897,0.9951118886107508,0.9917850526113682,0.00332683599938266,0.8701657458563536,0.9019337016574586,-0.03176795580110492,0.0,0.07
DS1,5,complex adaptive K5,complex random K5 seed23,0.9628038674033148,0.9508839779005523,0.01191988950276246,0.9951118886107508,0.9932709003048636,0.0018409883058871923,0.8701657458563536,0.8908839779005525,-0.02071823204419887,0.0,0.04
DS1,5,complex adaptive K5,complex random K5 seed37,0.9628038674033148,0.95689226519337,0.0059116022099448,0.9951118886107508,0.9943185935205984,0.0007932950901524682,0.8701657458563536,0.8867403314917127,-0.016574585635359074,0.0,0.03
DS2,5,complex adaptive K5,complex fixed K5,0.9852447552447552,0.9853566433566432,-0.0001118881118880033,0.9979834063287863,0.9980886804237844,-0.00010527409499805351,0.8769230769230769,0.9636363636363636,-0.08671328671328671,0.01,0.01
DS2,5,complex adaptive K5,complex random K5 seed11,0.9852447552447552,0.9730629370629372,0.01218181818181796,0.9979834063287863,0.9949636182367094,0.003019788092076925,0.8769230769230769,0.9104895104895104,-0.03356643356643352,0.01,0.03
DS2,5,complex adaptive K5,complex random K5 seed23,0.9852447552447552,0.9783356643356644,0.006909090909090754,0.9979834063287863,0.9959230517173364,0.0020603546114499327,0.8769230769230769,0.902097902097902,-0.025174825174825055,0.01,0.02
DS2,5,complex adaptive K5,complex random K5 seed37,0.9852447552447552,0.9782797202797204,0.006965034965034755,0.9979834063287863,0.9962561955089106,0.001727210819875702,0.8769230769230769,0.8951048951048951,-0.018181818181818188,0.01,0.02
DS3,5,complex adaptive K5,complex fixed K5,0.9746229050279328,0.9756424581005586,-0.0010195530726258006,0.9966577181144586,0.996789219166141,-0.00013150105168246995,0.888268156424581,0.9343575418994412,-0.04608938547486019,0.0,0.02
DS3,5,complex adaptive K5,complex random K5 seed11,0.9746229050279328,0.9723743016759776,0.002248603351955203,0.9966577181144586,0.9963083244889744,0.0003493936254841401,0.888268156424581,0.9217877094972068,-0.033519553072625774,0.0,0.06
DS3,5,complex adaptive K5,complex random K5 seed23,0.9746229050279328,0.9740083798882682,0.0006145251396646456,0.9966577181144586,0.9965484621729366,0.0001092559415220018,0.888268156424581,0.914804469273743,-0.026536312849162025,0.0,0.03
DS3,5,complex adaptive K5,complex random K5 seed37,0.9746229050279328,0.9747765363128492,-0.0001536312849164112,0.9966577181144586,0.9966919524320296,-3.423431757099138e-05,0.888268156424581,0.9134078212290504,-0.025139664804469386,0.0,0.0
DS7,5,complex adaptive K5,complex fixed K5,0.7107919254658385,0.7302277432712215,-0.01943581780538306,0.8909083911650569,0.9009820384076608,-0.010073647242603845,0.2453416149068323,0.3788819875776397,-0.1335403726708074,0.0083333333333333,0.025
DS7,5,complex adaptive K5,complex random K5 seed11,0.7107919254658385,0.7756211180124224,-0.06482919254658392,0.8909083911650569,0.916516482030624,-0.025608090865567035,0.2453416149068323,0.4751552795031056,-0.2298136645962733,0.0083333333333333,0.0416666666666666
DS7,5,complex adaptive K5,complex random K5 seed23,0.7107919254658385,0.7790113871635611,-0.06821946169772264,0.8909083911650569,0.919107769648666,-0.028199378483609094,0.2453416149068323,0.4254658385093168,-0.1801242236024845,0.0083333333333333,0.0166666666666666
DS7,5,complex adaptive K5,complex random K5 seed37,0.7107919254658385,0.7776915113871635,-0.06689958592132506,0.8909083911650569,0.9191735800142926,-0.02826518884923568,0.2453416149068323,0.4316770186335403,-0.186335403726708,0.0083333333333333,0.0166666666666666
DS8,5,complex adaptive K5,complex fixed K5,0.799675925925926,0.8167476851851851,-0.01707175925925919,0.9650679496840656,0.9683147697538436,-0.003246820069777945,0.45,0.5402777777777777,-0.09027777777777773,0.0,0.025
DS8,5,complex adaptive K5,complex random K5 seed11,0.799675925925926,0.9185069444444444,-0.1188310185185184,0.9650679496840656,0.9868607475068862,-0.02179279782282062,0.45,0.7805555555555556,-0.33055555555555555,0.0,0.025
DS8,5,complex adaptive K5,complex random K5 seed23,0.799675925925926,0.918101851851852,-0.11842592592592605,0.9650679496840656,0.9866096195522442,-0.021541669868178626,0.45,0.7416666666666667,-0.2916666666666667,0.0,0.0083333333333333
DS8,5,complex adaptive K5,complex random K5 seed37,0.799675925925926,0.9179050925925926,-0.11822916666666661,0.9650679496840656,0.9867661314079408,-0.021698181723875165,0.45,0.7402777777777778,-0.2902777777777778,0.0,0.0083333333333333
DS1,7,complex adaptive K7,complex fixed K7,0.9601243093922652,0.9586878453038674,0.0014364640883978153,0.9947755034006284,0.9944744077496224,0.00030109565100600033,0.8839779005524862,0.9129834254143646,-0.029005524861878462,0.01,0.03
DS1,7,complex adaptive K7,complex random K7 seed11,0.9601243093922652,0.9575,0.0026243093922652116,0.9947755034006284,0.9944292934424616,0.0003462099581668099,0.8839779005524862,0.8895027624309392,-0.0055248618784530246,0.01,0.02
DS1,7,complex adaptive K7,complex random K7 seed23,0.9601243093922652,0.9511602209944752,0.00896408839779006,0.9947755034006284,0.9932642139278908,0.001511289472737598,0.8839779005524862,0.8922651933701657,-0.008287292817679592,0.01,0.04
DS1,7,complex adaptive K7,complex random K7 seed37,0.9601243093922652,0.9336740331491712,0.02645027624309404,0.9947755034006284,0.9901897977125528,0.004585705688075592,0.8839779005524862,0.9046961325966852,-0.020718232044199092,0.01,0.09
DS2,7,complex adaptive K7,complex fixed K7,0.9828111888111888,0.9801538461538462,0.0026573426573426318,0.997668755290602,0.996938518007625,0.0007302372829769421,0.8881118881118881,0.958041958041958,-0.0699300699300699,0.01,0.02
DS2,7,complex adaptive K7,complex random K7 seed11,0.9828111888111888,0.9805314685314686,0.002279720279720232,0.997668755290602,0.997037463896576,0.0006312913940259568,0.8881118881118881,0.8979020979020979,-0.009790209790209725,0.01,0.02
DS2,7,complex adaptive K7,complex random K7 seed23,0.9828111888111888,0.976951048951049,0.005860139860139779,0.997668755290602,0.995973257555198,0.0016954977354038947,0.8881118881118881,0.9076923076923076,-0.01958041958041945,0.01,0.03
DS2,7,complex adaptive K7,complex random K7 seed37,0.9828111888111888,0.9676783216783216,0.015132867132867212,0.997668755290602,0.9944627043398118,0.0032060509507901847,0.8881118881118881,0.925874125874126,-0.03776223776223786,0.01,0.04
DS3,7,complex adaptive K7,complex fixed K7,0.974972067039106,0.975782122905028,-0.000810055865921977,0.9967103432018096,0.9968106230163284,-0.00010027981451876666,0.9008379888268156,0.9301675977653632,-0.029329608938547524,0.0,0.02
DS3,7,complex adaptive K7,complex random K7 seed11,0.974972067039106,0.9760754189944134,-0.001103351955307419,0.9967103432018096,0.9968671962433656,-0.00015685304155599322,0.9008379888268156,0.909217877094972,-0.008379888268156388,0.0,0.0
