scenario,model,operating_point,threshold,epoch_count,alarm_comparison,clean_test_fpr,stable_pre_fpr,roc_auc,pr_auc,post_detection_rate,persistent_detection_rate,persistent_alarm_ratio,first_alarm_delay_s,first_sustained_alarm_delay_s,tracked_prn_count_median,tracked_prn_count_min,tracked_prn_count_max,pre_onset_alarm
DS1,complex all9,q99,-0.30931693380844905,910,strict_greater,,0.04,0.9495165745856353,0.9932555097309027,0.8729281767955801,0.9409937888198758,0.9409937888198758,26.0,26.0,10.0,7,11,True
DS1,complex all9,q995,-0.2854974355207343,910,strict_greater,,0.03,0.9495165745856353,0.9932555097309027,0.8397790055248618,0.906832298136646,0.906832298136646,26.0,26.0,10.0,7,11,True
DS1,complex fixed K5,q99,-0.43276511138249457,910,strict_greater,,0.01,0.9638674033149172,0.9952848107783955,0.9212707182320442,0.9875776397515528,0.9875776397515528,23.5,26.0,10.0,7,11,True
DS1,complex fixed K5,q995,-0.34556454640371054,910,strict_greater,,0.0,0.9638674033149172,0.9952848107783955,0.8397790055248618,0.906832298136646,0.906832298136646,26.0,26.0,10.0,7,11,False
DS1,complex fixed K7,q99,-0.39678467263579087,910,strict_greater,,0.03,0.9586878453038674,0.9944744077496224,0.9129834254143646,0.984472049689441,0.984472049689441,26.0,26.0,10.0,7,11,True
DS1,complex fixed K7,q995,-0.34556454640371054,910,strict_greater,,0.02,0.9586878453038674,0.9944744077496224,0.8701657458563536,0.937888198757764,0.937888198757764,26.0,26.0,10.0,7,11,True
DS1,complex random K5 seed11,q99,-0.34556454640371054,910,strict_greater,,0.07,0.9426933701657458,0.9917850526113682,0.9019337016574586,0.968944099378882,0.968944099378882,2.0,26.0,10.0,7,11,True
DS1,complex random K5 seed11,q995,-0.29671779756134975,910,strict_greater,,0.04,0.9426933701657458,0.9917850526113682,0.8453038674033149,0.9130434782608695,0.9130434782608695,26.0,26.0,10.0,7,11,True
DS1,complex random K5 seed23,q99,-0.34556454640371054,910,strict_greater,,0.04,0.9508839779005525,0.9932709003048636,0.8908839779005525,0.9565217391304348,0.9565217391304348,26.0,26.0,10.0,7,11,True
DS1,complex random K5 seed23,q995,-0.3114668949425018,910,strict_greater,,0.03,0.9508839779005525,0.9932709003048636,0.8522099447513812,0.9145962732919255,0.9145962732919255,26.0,26.0,10.0,7,11,True
DS1,complex random K5 seed37,q99,-0.3479183784859982,910,strict_greater,,0.03,0.9568922651933701,0.9943185935205983,0.8867403314917127,0.9549689440993789,0.9549689440993789,26.0,26.0,10.0,7,11,True
