cleanDynamic,TOPI,2.791986415450573,strict >,0.6706586826347305,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_TOPI_original,2.531660717784112,strict >,1.0,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,IQ_LOW_ONLY,0.11085109296053891,strict >,1.0,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,IQ_OOD_ONLY,4.304679155243729,strict >,1.0,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_TOPI_clamped,2.531660717784112,strict >,0.8083832335329342,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_B0_clamped,1.5045246129176055,strict >,0.7844311377245509,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_total_clamped,2.3309088147507384,strict >,0.8622754491017964,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
DS1,TOPI,2.791986415450573,strict >,0.0,,0.9687004017901825,,0.9960516817601881,,0.9676998676097865,,0.9334257975034674,,26.648097519999993,,1.0,
DS1,NC_TOPI_original,2.531660717784112,strict >,0.0,,0.9687004017901825,,0.9960516817601881,,0.9676998676097865,,0.9320388349514563,,27.148097519999993,,1.0,
DS1,IQ_LOW_ONLY,0.11085109296053891,strict >,0.0,,0.045140626563907514,,0.7410058920055292,,0.49562665006564516,,0.0,,,censored: no 3-consecutive 0.5s alarm,0.0,
DS1,IQ_OOD_ONLY,4.304679155243729,strict >,1.0,,0.5,,0.8814180929095354,,0.5,,1.0,,2.648097519999993,,1.0,
DS1,NC_TOPI_clamped,2.531660717784112,strict >,0.0,,0.9687004017901825,,0.9960516817601881,,0.9676998676097865,,0.9320388349514563,,27.148097519999993,,1.0,
DS1,NC_B0_clamped,1.5045246129176055,strict >,0.0,,0.9647396942962952,,0.9955676853576773,,0.9668199548091452,,0.9320388349514563,,27.148097519999993,,1.0,
DS1,NC_total_clamped,2.3309088147507384,strict >,0.0,,0.9657548936900354,,0.9956830455822352,,0.9663580005888084,,0.9320388349514563,,27.148097519999993,,1.0,
DS2,B0,0.1077117757998523,strict >,0.010309278350515464,,0.9895893663848025,,0.9986765497713178,,0.987607184120563,,0.976123595505618,,11.706335080000002,,1.0,
DS2,TOPI,2.791986415450573,strict >,0.0,,0.9927458589134717,,0.9990607252901603,,0.9888769094143819,,0.976123595505618,,11.706335080000002,,1.0,
DS2,NC_TOPI_original,2.531660717784112,strict >,0.0,,0.9927458589134717,,0.9990607252901603,,0.9888769094143819,,0.9747191011235955,,11.706335080000002,,1.0,
DS2,IQ_LOW_ONLY,0.11085109296053891,strict >,0.0,,0.9992181165295958,,0.9998951054721585,,0.9960794447068049,,0.9691011235955056,,13.706335080000002,,1.0,
DS2,IQ_OOD_ONLY,4.304679155243729,strict >,1.0,,0.5,,0.8800988875154512,,0.5,,1.0,,2.7063350800000023,,1.0,
DS2,NC_TOPI_clamped,2.531660717784112,strict >,0.0,,0.9927458589134717,,0.9990607252901603,,0.9888769094143819,,0.9747191011235955,,11.706335080000002,,1.0,
DS2,NC_B0_clamped,1.5045246129176055,strict >,0.0,,0.9895893663848025,,0.9986765497713178,,0.987607184120563,,0.9747191011235955,,11.706335080000002,,1.0,
