scenario,phase,n,mean_score,alarm_fraction,prn_coverage_min
cleanStatic,all,12,0.571454387026596,0.08333333333333333,3
ds3,established,6,63.39665903584932,1.0,3
ds3,pre_onset,6,0.2522754958558502,0.0,3
ds3,transition,6,106.99779814731443,0.6666666666666666,3
ds4,pre_onset,6,33.760771801918345,0.16666666666666666,3
ds4,transition_only,6,4.030114565023114,1.0,3
ds7,held,6,2.2537347039227145,0.3333333333333333,3
ds7,pre_onset,6,2.5476843613121347,0.6666666666666666,3
ds7,time_push,6,31.356653136955796,0.8333333333333334,3
ds7,transition,6,3.019848122948934,0.6666666666666666,3
ds8,held,6,0.4541065776519229,0.0,3
ds8,pre_onset,6,0.5756505141762774,0.0,3
ds8,time_push,6,45.55909114058296,0.8333333333333334,3
ds8,transition,6,1.2087649682315662,0.0,3
