scenario,phase,role,time_s,score,power_only,prompt_magnitude,epl_3point_complex,fixed_9_delay_tap_complex,dense_one_source_residual,dense_two_source_score,selected_delay_chips,selected_doppler_hz,beta_alpha_ratio,grid_boundary,prn_count,dominant_fraction
cleanStatic,all,train,1.0,0.02289934703160368,-3.299628836539037,0.008623555160927096,1.327553575418651,0.5392257005780889,-0.1864939532992671,0.02289934703160368,-0.625,50.0,2.1055699241630488e-08,0,3,0.5888472529581695
cleanStatic,all,train,2.0,-0.19969226362484394,-2.5800322613501296,0.01700276794095182,0.07388274169648984,0.25003066842766847,-0.46207050779471237,-0.19969226362484394,-1.0,100.0,1.7602737128662456e-08,1,3,0.45177206706031153
cleanStatic,all,train,3.0,-0.16611268692495143,-2.8964754303348714,0.010364896904801482,1.3113604732842232,0.7512603483367771,0.2298173060202295,-0.16611268692495143,-1.0,250.0,1.3722500945888135e-08,1,3,0.531763379394449
cleanStatic,all,selection,4.0,0.03885052754851119,-2.9743491291565753,0.05050464068724493,1.3577049508087593,0.6461674804945968,0.26438417060846914,0.03885052754851119,-1.0,0.0,2.327650600222263e-08,1,3,0.39384301745795824
cleanStatic,all,selection,5.0,0.3967003342223056,-3.6237848298521453,-0.07500980921320509,0.6428617310604108,0.7402863033373293,0.27152506883797095,0.3967003342223056,-1.0,250.0,2.210908497670336e-08,1,3,0.6736196817578537
cleanStatic,all,selection,6.0,0.02061298664175263,0.9666133203432139,0.5122532094198284,-0.5673748420221636,-0.1293959567994211,-0.1608384414848806,0.02061298664175263,0.25,250.0,1.624646480887713e-08,1,3,0.7766269396936683
cleanStatic,all,calibration,7.0,0.919857338861116,0.939033052933493,0.4543703979330808,0.9256674057931527,0.8893074584981524,1.071833709370233,0.919857338861116,-0.75,250.0,2.8900383397253245e-08,1,3,0.455042966212583
cleanStatic,all,calibration,8.0,-0.01576605960000426,-0.06306164880109198,0.4520820453414967,0.11636662624417461,0.4397020205441601,0.1925455743618491,-0.01576605960000426,0.75,200.0,1.7979137440856584e-08,0,3,0.5400272843759186
cleanStatic,all,calibration,9.0,2.317252898455417,0.9275585934842872,0.44130402009770964,2.0937610884799867,1.8592339147852952,2.3110821995612723,2.317252898455417,-1.0,-100.0,5.3251864654036724e-08,1,3,0.9238034696055629
cleanStatic,all,holdout,10.0,0.7248889957076209,7.4129770191184345,0.3551560995788233,1.50102874056967,0.6026705921377241,1.3156204640930054,0.7248889957076209,0.875,-250.0,3.0164397724879046e-08,1,3,0.8558867546448905
